Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,PAR,Salinity,Descent Rate (m/s),Flag,CDOM_ugL,Phycoerythrin,Phycocyanin
2022-07-14T10:01:20Z,-0.115,28.0339,NA,NA,NA,NA,NA,NA,548.45,NA,0.129,0,NA,NA,NA
2022-07-14T10:01:20Z,-0.063,28.026,NA,NA,NA,NA,NA,NA,493.22,NA,0.153,0,NA,NA,NA
2022-07-14T10:01:20Z,-0.017,28.0199,NA,NA,NA,NA,NA,NA,367.66,NA,0.176,0,NA,NA,NA
2022-07-14T10:01:20Z,0.093,27.7302,3.0127,1.2409,90.277613,85.641,8.2227,104.493,1818.8,4.4944489325836585,-0.009,0,1.6198,0.0395,0.1253
2022-07-14T10:01:20Z,0.089,27.7223,3.0078,1.2533,90.279947,85.656,8.22,104.458,1817.9,4.496034284647132,-0.006,0,1.6202,0.0035,0.1272
2022-07-14T10:01:20Z,0.085,27.7155,3.0096,1.2543,90.263413,85.648,8.2161,104.426,1821,4.496221526854155,-0.001,0,1.6197,-0.0022,0.1277
2022-07-14T10:01:20Z,0.085,27.7099,3.0229,1.2555,90.21309,85.601,8.2191,104.443,1825.5,4.494099131181409,0.002,0,1.6204,0.0013,0.1249
2022-07-14T10:01:20Z,0.09,27.7004,3.0453,1.2578,90.213084,85.596,8.2229,104.512,1828.1,4.49470775259034,0.003,0,1.6194,-8e-4,0.1308
2022-07-14T10:01:20Z,0.095,27.6921,3.057,1.2589,90.26335,85.641,8.219,104.616,1826.8,4.498021549967719,0.003,0,1.6209,6e-4,0.1652
2022-07-14T10:01:20Z,0.097,27.6854,3.0589,1.2588,90.279265,85.655,8.216,104.727,1823,4.49943930951869,0.001,0,1.6185,-4e-4,0.1718
2022-07-14T10:01:20Z,0.096,27.6865,3.0631,1.2548,90.270124,85.644,8.2176,104.815,1820.2,4.498716165813333,-0.002,0,1.6224,4e-4,0.1675
2022-07-14T10:01:20Z,0.093,27.6916,3.0696,1.2466,90.288222,85.658,8.2223,104.844,1818.3,4.499026625092324,-0.006,0,1.6161,-4e-4,0.1705
2022-07-14T10:01:20Z,0.09,27.6924,3.0743,1.2423,90.294996,85.662,8.2319,104.845,1816.8,4.499177126612591,-0.007,0,1.6264,5e-4,0.168
2022-07-14T10:01:20Z,0.086,27.6927,3.0762,1.2419,90.284325,85.649,8.2404,104.858,1816.8,4.498416582093052,-0.007,0,1.7051,-9e-4,0.1706
2022-07-14T10:01:20Z,0.084,27.6939,3.0837,1.2403,90.294604,85.658,8.2497,104.848,1819.6,4.498811226516969,-0.006,0,1.7092,0.0014,0.1673
2022-07-14T10:01:20Z,0.084,27.6957,3.0992,1.2378,90.28388,85.648,8.2501,104.807,1823.5,4.49807875856807,-0.004,0,1.7168,-0.0022,0.1722
2022-07-14T10:01:20Z,0.084,27.6978,3.1087,1.2367,90.222364,85.592,8.247,104.756,1825,4.494726278226305,-0.002,0,1.6956,0.0035,0.1645
2022-07-14T10:01:20Z,0.084,27.6994,3.1096,1.2367,90.160108,85.537,8.2513,104.733,1824.9,4.491477541058467,0,0,1.5445,0.0394,0.1319
2022-07-14T10:01:20Z,0.083,27.6996,3.1016,1.2403,89.734234,85.138,8.2497,104.768,1825.4,4.468984466071937,0.002,0,1.5229,0.0436,0.123
2022-07-14T10:01:20Z,0.083,27.6997,3.0855,1.2472,84.396168,80.075,8.2462,104.817,1826.6,4.184613128424349,0.002,0,1.5315,0.0436,0.1306
2022-07-14T10:01:20Z,0.085,27.6994,3.0765,1.2512,25.144137,23.842,8.2412,104.825,1827,1.155732685461137,0.001,0,1.5337,0.0394,0.1224
2022-07-14T10:01:20Z,0.088,27.6964,3.0766,1.252,-626.608981,-594.663,8.2376,104.806,1826.1,NA,0,0,1.6156,0.0036,0.0884
2022-07-14T10:01:20Z,0.089,27.6918,3.0779,1.2582,-1224,-1161.658,8.2433,104.801,1824,NA,0,0,1.6207,-0.0021,0.0833
2022-07-14T10:01:20Z,0.087,27.6894,3.0788,1.2701,-626.906187,-594.769,8.2501,104.806,1820.5,NA,0.002,0,1.623,0.0014,0.0838
2022-07-14T10:01:20Z,0.084,27.6927,3.08,1.2771,25.033481,23.734,8.2489,104.82,1818,1.1503830825431967,0.005,0,1.6127,-8e-4,0.0876
2022-07-14T10:01:20Z,0.083,27.6983,3.0804,1.2781,84.337582,79.998,8.2449,104.794,1817.5,4.1804223909133436,0.009,0,1.5379,6e-4,0.1234
