Reservoir,Site,DateTime,Depth_m,Rep,CH4_umolL,CO2_umolL,Flag_DateTime,Flag_CH4_umolL,Flag_CO2_umolL
FCR,50,2026-01-21 09:45:00,0.1,1,0.213,48.7258,0,0,0
FCR,50,2026-01-21 09:45:00,0.1,2,0.1999,47.8922,0,0,0
FCR,50,2026-01-21 09:55:00,1.6,1,0.1714,55.5266,0,0,0
FCR,50,2026-01-21 09:55:00,1.6,2,0.1871,61.3028,0,0,0
FCR,50,2026-01-21 10:05:00,3.8,1,0.1766,46.0727,0,0,3
FCR,50,2026-01-21 10:05:00,3.8,2,0.2065,64.4818,0,0,3
FCR,50,2026-01-21 10:10:00,5,1,0.1957,63.2419,0,0,0
FCR,50,2026-01-21 10:10:00,5,2,0.2174,67.8423,0,0,0
FCR,50,2026-01-21 10:15:00,6.2,1,0.1856,69.7136,0,0,4
FCR,50,2026-01-21 10:15:00,6.2,2,0.1787,0,0,0,6
FCR,50,2026-01-21 10:18:00,8,1,0.2186,0,0,0,6
FCR,50,2026-01-21 10:18:00,8,2,0.2169,65.0409,0,0,4
FCR,50,2026-01-21 10:24:00,9,1,0.2113,0,0,0,6
FCR,50,2026-01-21 10:24:00,9,2,0.2405,79.6858,0,0,4
