Reservoir,Site,DateTime,Depth_m,Chla_ugL,Pheo_ugL,Flag_DateTime,Flag_Chla_ugL,Flag_Pheo_ugL
FCR,50,2024-01-29 10:10:00,1.6,NA,NA,0,2,2
FCR,50,2024-02-13 12:00:00,1.6,9.666,4.5624,1,0,0
FCR,50,2024-02-27 10:48:00,1.6,8.8068,0.3179,0,0,0
BVR,50,2024-03-05 10:45:00,1.6,5.1552,1.6497,0,0,0
FCR,50,2024-03-05 10:55:00,1.6,5.1552,2.5776,0,0,0
BVR,50,2024-03-18 10:35:00,1.6,12.0288,2.6635,0,0,0
FCR,50,2024-03-18 10:57:00,1.6,4.9404,2.6377,0,0,0
FCR,50,2024-03-25 09:45:00,1.6,4.0812,2.8783,0,0,0
FCR,50,2024-04-01 10:18:00,1.6,5.6922,5.2884,0,5,5
BVR,50,2024-04-01 11:30:00,1.6,11.7424,1.2487,0,0,0
FCR,50,2024-04-08 11:25:00,1.6,4.7256,1.306,0,0,0
FCR,50,2024-04-15 09:47:00,1.6,3.4368,1.8215,0,0,0
BVR,50,2024-04-15 10:37:00,1.6,10.8014,1.0409,0,0,0
FCR,50,2024-04-22 12:06:00,1.6,2.3198,1.8868,0,5,5
FCR,50,2024-04-29 09:57:00,1.6,2.5776,2.2477,0,5,5
BVR,50,2024-05-06 10:25:00,1.6,9.0216,2.7323,0,0,0
FCR,50,2024-05-06 12:00:00,1.6,6.444,2.526,1,0,0
FCR,50,2024-05-13 10:35:00,1.6,5.1552,1.8559,0,0,0
BVR,50,2024-05-13 10:54:00,1.6,14.32,1.3518,0,0,0
FCR,50,2024-05-20 11:07:00,1.6,8.3056,0,0,0,4
BVR,50,2024-05-20 12:10:00,1.6,8.592,8.7295,0,0,0
CCR,50,2024-05-22 12:00:00,0.1,1.4525,0.0745,1,5,5
CCR,88,2024-05-22 12:00:00,0.1,3.2936,0.0057,1,0,4
CCR,90,2024-05-22 12:00:00,0.1,6.0553,0,1,0,4
CCR,101,2024-05-22 12:00:00,0.1,0.3437,0,1,1,4
CCR,100,2024-05-22 12:00:00,0.1,0.2291,0.0183,1,1,4
CCR,98,2024-05-22 12:00:00,0.1,13.9381,1.3213,1,0,0
CCR,92,2024-05-22 12:00:00,0.1,2.6349,0.252,1,0,0
BVR,50,2024-05-27 11:04:00,1.6,32.936,0.8821,0,5,45
FCR,50,2024-05-27 11:30:00,1.6,3.4368,1.0998000000000001,0,0,0
FCR,50,2024-06-03 10:08:00,1.6,0.3819,6.4917,0,0,0
BVR,50,2024-06-03 12:00:00,1.6,30.9312,10.7228,1,0,0
BVR,50,2024-06-10 10:46:00,1.6,32.22,5.8254,0,0,0
FCR,50,2024-06-10 10:50:00,1.6,5.9939,1.0335,0,0,0
SNP,161,2024-06-13 12:00:00,0.1,0.4619,0.2033,1,1,1
SNP,200,2024-06-13 12:00:00,0.1,0.6091,0.2053,1,1,1
SNP,110,2024-06-13 12:00:00,0.1,0.6331,0,1,1,4
FCR,50,2024-06-17 10:07:00,1.6,27.7588,0.4759,0,0,4
BVR,50,2024-06-17 11:15:00,1.6,48.9744,1.3404,0,0,0
SNP,161,2024-06-18 12:00:00,0.1,0.5543,0.0443,1,1,4
SNP,110,2024-06-18 12:00:00,0.1,0.836,0,1,1,4
SNP,200,2024-06-18 12:00:00,0.1,0.5845,0.0888,1,1,4
CCR,92,2024-06-19 12:00:00,0.1,1.7184,0.4124,1,5,5
CCR,101,2024-06-19 12:00:00,0.1,0.1909,0.1451,1,1,45
CCR,98,2024-06-19 12:00:00,0.1,1.9093,0.2902,1,0,0
CCR,88,2024-06-19 12:00:00,0.1,0.8592,0.1031,1,1,4
CCR,100,2024-06-19 12:00:00,0.1,0.5728,0.3895,1,1,1
CCR,50,2024-06-19 12:00:00,0.1,0.9547,0.0076,1,1,4
CCR,96,2024-06-19 12:00:00,0.1,1.6229,0.1642,1,0,0
CCR,90,2024-06-19 12:00:00,0.1,1.2602,0,1,1,4
SNP,161,2024-06-20 12:00:00,0.1,0.5665,0.2493,1,1,1
SNP,200,2024-06-20 12:00:00,0.1,0.6014,0.079,1,1,4
SNP,110,2024-06-20 12:00:00,0.1,0.4296,0.0034,1,1,4
BVR,50,2024-06-24 09:43:00,1.6,111.1232,6.0029,0,0,0
FCR,50,2024-06-24 10:13:00,1.6,28.8446,0,0,0,4
SNP,110,2024-06-25 12:00:00,0.1,0.7471,0.2212,1,1,1
SNP,200,2024-06-25 12:00:00,0.1,0.7471,0.0598,1,1,4
SNP,161,2024-06-25 12:00:00,0.1,0.4483,0,1,1,4
SNP,161,2024-06-28 12:00:00,0.1,1.0958,0.3387,1,0,0
SNP,200,2024-06-28 12:00:00,0.1,1.1387,0.2029,1,0,0
SNP,110,2024-06-28 12:00:00,0.1,1.0825,0,1,1,4
BVR,50,2024-07-01 09:38:00,1.6,3.4368,4.6053,0,0,0
FCR,50,2024-07-01 10:26:00,1.6,57.1368,0,0,0,4
SNP,161,2024-07-01 12:00:00,0.1,1.074,0.174,1,1,1
SNP,110,2024-07-01 12:00:00,0.1,0.8055,0.0107,1,1,45
SNP,200,2024-07-01 12:00:00,0.1,1.2888,0.3351,1,0,0
SNP,161,2024-07-03 12:00:00,0.1,0.6444,0,1,1,4
SNP,110,2024-07-03 12:00:00,0.1,0.7518,0.0988,1,1,4
SNP,200,2024-07-03 12:00:00,0.1,0.537,0,1,1,4
BVR,50,2024-07-08 09:26:00,1.6,18.0432,3.8148,0,5,5
SNP,110,2024-07-10 12:00:00,0.1,0.5728,0.0046,1,1,4
SNP,161,2024-07-10 12:00:00,0.1,0.4582,0,1,1,4
SNP,200,2024-07-10 12:00:00,0.1,0.4582,0,1,1,4
CCR,50,2024-07-11 12:00:00,0.1,0.8592,0.2543,1,1,1
CCR,98,2024-07-11 12:00:00,0.1,23.1984,10.6197,1,0,0
CCR,96,2024-07-11 12:00:00,0.1,4.9834,0.2131,1,0,0
CCR,88,2024-07-11 12:00:00,0.1,1.2888,0.1409,1,1,1
CCR,90,2024-07-11 12:00:00,0.1,1.5466,0.0619,1,1,4
CCR,100,2024-07-11 12:00:00,0.1,0.7235,0.3184,1,1,1
CCR,92,2024-07-11 12:00:00,0.1,0.6874,2.7769,1,0,0
SNP,200,2024-07-12 12:00:00,0.1,0.6874,0,1,1,45
SNP,110,2024-07-12 12:00:00,0.1,0.5728,0.252,1,1,1
SNP,161,2024-07-12 12:00:00,0.1,0.5728,0.0046,1,1,4
BVR,50,2024-07-13 12:00:00,1.6,NA,NA,1,2,2
FCR,50,2024-07-15 10:35:00,1.6,12.888,0.9279,0,0,0
SNP,200,2024-07-16 12:00:00,10,8.204,0.2572,1,0,4
SNP,200,2024-07-16 12:00:00,0.1,0.6444,0,1,1,4
SNP,161,2024-07-16 12:00:00,0.1,0.6444,0,1,1,4
SNP,110,2024-07-16 12:00:00,0.1,0.7518,0,1,1,4
