"Sample ID","Type","WL750.0","WL664.0","WL665.0","Comments"
"28b","Unknown",0.002,0.002,0.002,""
"28a","Unknown",0.002,0.002,0.002,""
"1b","Unknown",0.003,0.018,0.018,""
"1a","Unknown",0.003,0.018,0.018,""
"2b","Unknown",0.002,0.094,0.094,""
"2a","Unknown",0.002,0.060,0.060,""
"3b","Unknown",0.003,0.067,0.067,""
"3a","Unknown",0.003,0.066,0.067,""
"4b","Unknown",0.002,0.054,0.054,""
"4a","Unknown",0.002,0.053,0.053,""
"5b","Unknown",0.003,0.066,0.067,""
"5a","Unknown",0.003,0.045,0.046,""
"6b","Unknown",0.002,0.023,0.023,""
"6a","Unknown",0.002,0.023,0.023,""
"7b","Unknown",0.002,0.080,0.080,""
"7a","Unknown",0.002,0.053,0.054,""
"8b","Unknown",0.002,0.068,0.069,""
"8a","Unknown",0.002,0.062,0.063,""
"9b","Unknown",0.002,0.142,0.143,""
"9a","Unknown",0.002,0.094,0.096,""
"10b","Unknown",0.001,0.066,0.067,""
"10a","Unknown",0.001,0.043,0.044,""
"11b","Unknown",0.001,0.021,0.021,""
"11a","Unknown",0.001,0.014,0.014,""
"12b","Unknown",0.000,0.022,0.022,""
"12a","Unknown",0.001,0.017,0.018,""
"13b","Unknown",0.001,0.123,0.124,""
"13a","Unknown",0.001,0.081,0.083,""
"14b","Unknown",0.001,0.065,0.066,""
"14a","Unknown",0.001,0.042,0.043,""
"15b","Unknown",0.001,0.024,0.024,""
"15a","Unknown",0.001,0.015,0.016,""
"16b","Unknown",0.001,0.175,0.176,""
"16a","Unknown",0.001,0.140,0.142,""
"17b","Unknown",0.002,0.054,0.054,""
"17a","Unknown",0.002,0.040,0.040,""
"18b","Unknown",0.001,0.072,0.073,""
"18a","Unknown",0.002,0.054,0.054,""
"19b","Unknown",0.001,0.098,0.098,""
"19a","Unknown",0.002,0.066,0.067,""
"20b","Unknown",0.001,0.109,0.109,""
"20a","Unknown",0.003,0.062,0.064,""
"21b","Unknown",0.002,0.054,0.054,""
"21a","Unknown",0.002,0.037,0.037,""
"22b","Unknown",0.002,0.098,0.098,""
"22a","Unknown",0.002,0.063,0.064,""
"29b","Unknown",0.002,0.002,0.002,""
"29a","Unknown",0.002,0.002,0.002,""
"23b","Unknown",0.001,0.056,0.056,""
"23a","Unknown",0.002,0.054,0.055,""
"24b","Unknown",-0.002,0.052,0.052,""
"24a","Unknown",0.001,0.043,0.043,""
"25b","Unknown",0.001,0.038,0.038,""
"25a","Unknown",0.001,0.037,0.038,""
"25a1","Unknown",0.001,0.036,0.036,""
"26b","Unknown",0.001,0.063,0.063,""
"26a","Unknown",0.001,0.049,0.049,""
"27b","Unknown",0.001,0.099,0.100,""
"27a","Unknown",0.001,0.060,0.062,""
"30b","Unknown",0.000,0.001,0.001,""
"30a","Unknown",0.001,0.001,0.001,""
