"Sample ID","Type","WL750.0","WL665.0","WL664.0","WL663.0","WL647.0","WL630.0","WL490.0","WL384.0","Comments"
"41b","Unknown",-0.002,-0.001,0.000,0.001,0.000,-0.001,-0.001,0.000,""
"41a","Unknown",-0.002,-0.002,0.000,0.001,0.000,-0.001,-0.001,-0.001,""
"42b","Unknown",-0.001,-0.001,0.001,0.002,0.001,-0.000,-0.001,-0.000,""
"42a","Unknown",-0.000,-0.001,0.001,0.002,0.001,-0.000,-0.001,-0.001,""
"1b","Unknown",0.001,0.007,0.009,0.010,0.005,0.004,0.008,0.015,""
"1a","Unknown",0.001,0.005,0.007,0.008,0.004,0.002,0.007,0.015,""
"2b","Unknown",0.002,0.150,0.151,0.151,0.059,0.037,0.072,0.196,""
"2a","Unknown",0.003,0.101,0.102,0.101,0.042,0.021,0.069,0.217,""
"3b","Unknown",0.002,0.107,0.109,0.109,0.041,0.028,0.041,0.130,""
"3a","Unknown",0.001,0.067,0.068,0.068,0.025,0.013,0.038,0.150,""
"5b","Unknown",-0.000,0.051,0.053,0.053,0.017,0.013,0.053,0.073,""
"5a","Unknown",0.000,0.032,0.033,0.034,0.011,0.006,0.050,0.082,""
"6b","Unknown",-0.000,0.049,0.050,0.050,0.017,0.012,0.047,0.063,""
"6a","Unknown",-0.000,0.030,0.031,0.031,0.010,0.005,0.044,0.071,""
"7b","Unknown",0.001,0.413,0.412,0.406,0.118,0.089,0.282,0.477,""
"7a","Unknown",0.001,0.247,0.244,0.237,0.065,0.035,0.282,0.562,""
"8b","Unknown",0.000,0.048,0.049,0.049,0.016,0.012,0.044,0.062,""
"8a","Unknown",0.001,0.030,0.031,0.032,0.011,0.006,0.042,0.071,""
"4b","Unknown",0.001,0.001,0.003,0.004,0.002,0.001,0.001,0.003,""
"4a","Unknown",0.001,0.000,0.002,0.003,0.002,0.001,0.000,0.002,""
"9b","Unknown",0.007,0.062,0.064,0.064,0.029,0.023,0.044,0.094,""
"10b","Unknown",0.002,0.060,0.061,0.062,0.024,0.017,0.034,0.092,""
"10a","Unknown",0.002,0.041,0.042,0.042,0.018,0.011,0.033,0.100,""
"11b","Unknown",0.005,0.007,0.009,0.010,0.009,0.008,0.012,0.018,""
"11a","Unknown",0.006,0.007,0.009,0.010,0.008,0.008,0.011,0.016,""
"12b","Unknown",0.001,0.078,0.079,0.079,0.028,0.020,0.044,0.108,""
"12a","Unknown",0.001,0.050,0.051,0.051,0.018,0.010,0.041,0.119,""
"9b2","Unknown",-0.000,0.053,0.054,0.055,0.021,0.013,0.031,0.078,""
"9a","Unknown",0.000,0.036,0.037,0.037,0.015,0.008,0.030,0.087,""
"13b","Unknown",-0.002,0.053,0.055,0.056,0.022,0.014,0.015,0.036,""
"13a","Unknown",0.000,0.035,0.036,0.037,0.015,0.007,0.019,0.080,""
"14b","Unknown",0.006,0.066,0.068,0.068,0.029,0.021,0.034,0.048,""
"14a","Unknown",0.008,0.046,0.047,0.047,0.022,0.016,0.036,0.094,""
"15b","Unknown",-0.001,0.078,0.080,0.080,0.033,0.022,0.038,0.086,""
"15a","Unknown",0.001,0.058,0.059,0.059,0.025,0.015,0.040,0.145,""
"16b","Unknown",0.000,0.085,0.087,0.088,0.032,0.023,0.035,0.101,""
"16a","Unknown",0.001,0.053,0.054,0.054,0.020,0.010,0.034,0.119,""
"17b","Unknown",0.001,0.052,0.053,0.054,0.022,0.016,0.028,0.076,""
"17a","Unknown",0.001,0.034,0.036,0.036,0.015,0.008,0.027,0.085,""
"18b","Unknown",0.003,0.049,0.051,0.052,0.024,0.018,0.028,0.098,""
"18a","Unknown",0.003,0.036,0.037,0.038,0.018,0.012,0.026,0.100,""
"19b","Unknown",0.000,0.063,0.065,0.065,0.021,0.016,0.055,0.082,""
"19a","Unknown",0.001,0.040,0.041,0.041,0.014,0.007,0.052,0.094,""
"20b","Unknown",0.000,0.056,0.057,0.058,0.019,0.014,0.056,0.080,""
"20a","Unknown",0.001,0.036,0.037,0.037,0.012,0.007,0.052,0.089,""
"21b","Unknown",0.001,0.044,0.046,0.046,0.017,0.013,0.033,0.074,""
"21a","Unknown",0.001,0.028,0.029,0.029,0.012,0.007,0.030,0.078,""
"22b","Unknown",0.002,0.059,0.061,0.061,0.026,0.019,0.031,0.101,""
"22a","Unknown",0.002,0.039,0.041,0.041,0.018,0.011,0.028,0.105,""
"43b","Unknown",-0.001,-0.001,0.001,0.002,0.001,-0.000,-0.001,0.001,""
"43a","Unknown",-0.001,-0.001,0.001,0.002,0.001,-0.000,-0.001,0.000,""
"23b","Unknown",0.003,0.010,0.011,0.012,0.007,0.006,0.008,0.014,""
"23a","Unknown",0.003,0.007,0.009,0.010,0.006,0.004,0.007,0.014,""
"24b","Unknown",0.000,0.028,0.029,0.030,0.010,0.007,0.028,0.039,""
"24a","Unknown",0.000,0.017,0.018,0.019,0.006,0.003,0.025,0.042,""
"26b","Unknown",-0.000,0.053,0.054,0.054,0.017,0.013,0.060,0.074,""
"26a","Unknown",0.001,0.032,0.033,0.034,0.011,0.006,0.054,0.081,""
"27b","Unknown",-0.000,0.062,0.063,0.063,0.021,0.016,0.057,0.089,""
"27a","Unknown",0.001,0.038,0.039,0.039,0.013,0.007,0.052,0.098,""
"30b","Unknown",-0.001,0.014,0.016,0.017,0.006,0.004,0.010,0.020,""
"30a","Unknown",0.000,0.009,0.011,0.012,0.004,0.002,0.009,0.022,""
"31b","Unknown",0.004,0.046,0.048,0.048,0.019,0.016,0.043,0.062,""
"31a","Unknown",0.005,0.029,0.031,0.031,0.014,0.009,0.039,0.066,""
"32b","Unknown",-0.000,0.091,0.093,0.093,0.038,0.025,0.041,0.123,""
"32a","Unknown",0.000,0.058,0.059,0.059,0.025,0.012,0.038,0.135,""
"33b","Unknown",0.002,0.106,0.108,0.108,0.046,0.033,0.049,0.168,""
"33a","Unknown",0.002,0.071,0.072,0.072,0.032,0.018,0.046,0.175,""
"25b","Unknown",-0.000,0.005,0.007,0.008,0.003,0.002,0.003,0.008,""
"25a","Unknown",0.001,0.003,0.005,0.006,0.003,0.001,0.002,0.008,""
"34b","Unknown",0.001,0.080,0.082,0.082,0.033,0.023,0.034,0.110,""
"34a","Unknown",0.001,0.049,0.050,0.050,0.019,0.010,0.030,0.119,""
"28DILb","Unknown",0.001,0.054,0.056,0.056,0.020,0.015,0.052,0.077,""
"28DILa","Unknown",0.001,0.033,0.034,0.034,0.012,0.006,0.046,0.083,""
"35b","Unknown",-0.000,0.053,0.054,0.055,0.022,0.016,0.032,0.089,""
"35a","Unknown",0.000,0.034,0.035,0.036,0.014,0.008,0.029,0.094,""
"36b","Unknown",-0.000,0.098,0.100,0.100,0.036,0.025,0.040,0.120,""
"36a","Unknown",0.000,0.058,0.059,0.059,0.021,0.010,0.037,0.136,""
"37b","Unknown",-0.001,0.000,0.002,0.003,0.001,0.000,0.000,0.002,""
"37a","Unknown",-0.000,-0.000,0.002,0.003,0.001,0.000,0.000,0.001,""
"38b","Unknown",-0.000,0.043,0.045,0.046,0.018,0.013,0.029,0.080,""
"38a","Unknown",0.000,0.028,0.029,0.029,0.012,0.006,0.026,0.083,""
"39b","Unknown",0.000,0.292,0.292,0.287,0.082,0.061,0.237,0.340,""
"39a","Unknown",0.000,0.167,0.165,0.161,0.044,0.023,0.228,0.388,""
"40b","Unknown",-0.000,0.053,0.055,0.055,0.023,0.016,0.029,0.098,""
"40a","Unknown",0.001,0.036,0.037,0.037,0.015,0.008,0.027,0.100,""
"29b","Unknown",0.001,0.034,0.036,0.036,0.015,0.010,0.025,0.057,""
"29a","Unknown",0.001,0.022,0.024,0.024,0.010,0.006,0.022,0.059,""
