Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
6/15/2021 4:58:40 PM	1.41	1.00	2.28	0.00	0.00	0.00	0.00	0.02	4.69	100.00	0.24	26.72	749	998	1025	0	0	0	0	0	2772	184.87	7.55	2.45	9.35	6.81	10.38	14.67	1.02	26.86	26.41
6/15/2021 4:58:42 PM	3.18	0.84	0.66	0.27	0.00	0.00	0.00	0.00	4.94	100.00	0.30	26.71	1686	835	295	8	0	0	0	0	2825	185.61	5.35	1.99	8.83	6.57	10.81	14.19	1.03	26.90	26.41
6/15/2021 4:58:45 PM	2.60	1.02	1.29	0.10	0.00	0.00	0.00	0.02	5.01	100.00	0.32	26.69	1378	1016	579	3	0	0	0	0	2976	185.09	6.21	2.39	9.51	7.02	10.97	14.60	1.03	26.94	26.45
6/15/2021 4:58:47 PM	3.13	0.92	1.08	0.00	0.00	0.00	0.00	0.13	5.14	100.00	0.38	26.65	1658	923	487	0	0	0	0	0	3068	184.19	5.90	2.34	9.20	8.23	10.39	15.75	1.04	26.97	26.44
6/15/2021 4:58:49 PM	3.24	0.81	0.59	0.52	0.00	0.00	0.00	0.08	5.16	100.00	0.43	26.64	1717	813	266	16	0	0	0	0	2811	184.18	6.21	2.47	9.37	7.86	11.66	15.77	1.04	27.01	26.48
6/15/2021 4:58:52 PM	3.42	1.06	1.02	0.00	0.00	0.00	0.00	0.05	5.50	100.00	0.43	26.65	1811	1063	461	0	0	0	0	0	3334	184.58	5.84	2.70	10.23	7.86	10.77	15.83	1.04	27.03	26.48
6/15/2021 4:58:54 PM	2.99	0.93	0.85	0.07	0.00	0.00	0.00	0.07	4.84	100.00	0.46	26.62	1584	929	383	2	0	0	0	0	2898	184.80	5.39	1.21	8.58	7.11	10.91	14.09	1.05	27.07	26.49
6/15/2021 4:58:56 PM	2.27	0.87	1.26	0.34	0.00	0.00	0.00	0.13	4.74	100.00	0.53	26.61	1203	872	568	10	0	0	0	0	2653	184.79	6.87	2.38	9.08	7.91	11.17	15.28	1.05	27.10	26.46
6/15/2021 4:58:59 PM	2.75	1.14	1.29	0.00	0.00	0.00	0.00	0.10	5.18	100.00	0.57	26.62	1458	1138	580	0	0	0	0	0	3176	184.55	6.36	1.90	10.31	7.95	11.00	15.30	1.06	27.14	26.49
6/15/2021 4:59:01 PM	2.26	1.11	1.29	0.00	0.00	0.00	0.00	0.11	4.66	100.00	0.59	26.60	1200	1105	582	0	0	0	0	0	2888	183.60	6.07	1.64	9.45	7.33	10.81	13.82	1.06	27.17	26.49
6/15/2021 4:59:04 PM	2.63	0.84	1.30	0.43	0.00	0.00	0.00	0.00	5.20	100.00	0.68	26.63	1396	844	583	13	0	0	0	0	2836	185.08	7.05	2.22	9.42	6.89	11.81	16.08	1.07	27.20	26.50
6/15/2021 4:59:06 PM	3.68	0.94	0.95	0.00	0.00	0.00	0.00	0.00	5.57	100.00	0.69	26.63	1949	941	426	0	0	0	0	0	3316	184.61	5.54	2.56	9.82	7.23	10.39	15.99	1.07	27.23	26.59
6/15/2021 4:59:08 PM	2.18	1.00	1.90	0.05	0.00	0.00	0.00	0.00	5.13	100.00	0.77	26.61	1154	1000	856	1	0	0	0	0	3012	185.47	7.17	2.50	9.59	6.99	10.98	15.57	1.08	27.27	26.66
6/15/2021 4:59:11 PM	2.72	0.98	1.66	0.00	0.00	0.00	0.00	0.00	5.36	100.00	0.87	26.60	1441	977	747	0	0	0	0	0	3165	183.94	6.72	2.50	9.80	7.07	10.66	16.08	1.09	27.28	26.63
6/15/2021 4:59:13 PM	3.75	0.60	0.54	0.49	0.00	0.00	0.00	0.00	5.37	100.00	0.92	26.62	1985	598	242	15	0	0	0	0	2839	184.99	5.80	2.33	8.87	6.66	10.85	16.67	1.09	27.32	26.56
6/15/2021 4:59:16 PM	2.60	1.01	1.93	0.00	0.00	0.00	0.00	0.01	5.53	100.00	0.99	26.61	1377	1007	866	0	0	0	0	0	3250	184.13	7.41	2.24	10.07	7.76	11.02	16.81	1.10	27.37	26.56
6/15/2021 4:59:18 PM	3.03	0.57	0.94	0.56	0.00	0.00	0.00	0.00	5.11	100.00	1.07	26.58	1607	574	423	17	0	0	0	0	2622	184.36	6.65	2.20	8.48	7.15	11.08	16.17	1.10	27.39	26.60
6/15/2021 4:59:20 PM	2.83	0.90	1.74	0.00	0.00	0.00	0.00	0.00	5.48	100.00	1.13	26.60	1501	900	785	0	0	0	0	0	3186	184.48	6.90	2.13	9.72	6.83	10.57	17.00	1.11	27.43	26.61
6/15/2021 4:59:23 PM	3.75	0.95	1.06	0.07	0.00	0.00	0.00	0.00	5.83	100.00	1.18	26.61	1988	945	478	2	0	0	0	0	3413	184.47	6.14	1.75	9.65	7.69	11.60	17.02	1.12	27.44	26.55
6/15/2021 4:59:25 PM	3.00	0.58	1.00	0.73	0.00	0.00	0.00	0.07	5.31	100.00	1.22	26.59	1590	576	451	22	0	0	0	0	2640	185.09	7.48	3.34	9.28	8.37	11.37	17.64	1.12	27.47	26.58
6/15/2021 4:59:27 PM	3.29	1.09	1.57	0.00	0.00	0.00	0.00	0.00	5.95	100.00	1.28	26.59	1746	1089	704	0	0	0	0	0	3539	184.74	7.00	2.13	10.38	8.12	11.88	17.44	1.13	27.52	26.61
6/15/2021 4:59:30 PM	2.56	1.01	2.02	0.00	0.00	0.00	0.00	0.00	5.59	100.00	1.36	26.57	1359	1013	907	0	0	0	0	0	3279	183.95	7.56	1.97	9.97	7.50	11.41	17.16	1.13	27.55	26.61
6/15/2021 4:59:32 PM	3.52	0.71	0.81	0.49	0.00	0.00	0.00	0.00	5.53	100.00	1.41	26.59	1867	705	365	15	0	0	0	0	2952	184.29	6.44	3.33	9.65	7.47	10.98	16.97	1.14	27.56	26.73
6/15/2021 4:59:35 PM	2.96	1.07	1.58	0.00	0.00	0.00	0.00	0.00	5.61	100.00	1.48	26.59	1569	1072	710	0	0	0	0	0	3351	184.08	6.88	1.43	10.40	7.45	11.30	16.48	1.15	27.60	26.69
6/15/2021 4:59:37 PM	3.63	0.89	0.97	0.26	0.00	0.00	0.00	0.08	5.75	100.00	1.54	26.60	1922	892	436	8	0	0	0	0	3257	185.18	6.58	2.74	9.97	8.67	11.51	17.58	1.15	27.59	26.68
6/15/2021 4:59:39 PM	2.74	0.76	1.44	0.55	0.00	0.00	0.00	0.00	5.48	100.00	1.56	26.60	1451	758	646	17	0	0	0	0	2871	185.09	7.65	3.54	10.06	7.14	11.48	17.67	1.15	27.65	26.69
6/15/2021 4:59:42 PM	2.68	0.79	1.49	0.37	0.00	0.00	0.00	0.04	5.32	100.00	1.66	26.58	1419	791	668	11	0	0	0	0	2889	184.14	7.44	2.13	9.17	7.89	11.67	16.91	1.16	27.69	26.68
6/15/2021 4:59:44 PM	2.93	0.81	1.34	0.49	0.00	0.00	0.00	0.04	5.57	100.00	1.70	26.61	1553	812	602	15	0	0	0	0	2982	184.00	7.64	2.25	9.60	8.22	12.31	17.61	1.17	27.71	26.74
6/15/2021 4:59:46 PM	2.82	1.06	2.00	0.00	0.00	0.00	0.00	0.00	5.88	100.00	1.71	26.62	1494	1060	899	0	0	0	0	0	3453	183.94	7.76	1.34	10.07	7.93	12.23	17.88	1.17	27.72	26.79
6/15/2021 4:59:49 PM	3.14	0.86	1.64	0.14	0.00	0.00	0.00	0.00	5.77	100.00	1.76	26.61	1664	855	737	4	0	0	0	0	3261	184.47	7.25	2.20	9.64	7.62	11.42	17.98	1.17	27.77	26.79
6/15/2021 4:59:51 PM	2.87	1.07	1.87	0.00	0.00	0.00	0.00	0.02	5.81	100.00	1.82	26.59	1519	1070	842	0	0	0	0	0	3431	183.44	7.47	2.57	10.37	8.18	11.59	17.52	1.18	27.80	26.78
6/15/2021 4:59:54 PM	4.42	0.37	0.00	1.14	0.00	0.00	0.00	0.00	5.93	100.00	1.86	26.58	2341	372	0	34	0	0	0	0	2746	184.19	6.79	2.79	9.24	8.03	12.57	19.08	1.18	27.80	26.83
6/15/2021 4:59:56 PM	2.50	1.00	2.44	0.00	0.00	0.00	0.00	0.00	5.94	100.00	1.89	26.57	1325	998	1097	0	0	0	0	0	3420	184.20	8.44	2.57	10.45	7.80	11.55	18.95	1.19	27.83	26.78
6/15/2021 4:59:58 PM	2.75	0.93	1.92	0.00	0.00	0.00	0.00	0.00	5.60	100.00	1.92	26.57	1457	929	863	0	0	0	0	0	3249	183.65	7.29	2.12	9.69	7.14	11.09	17.47	1.19	27.88	26.80
6/15/2021 5:00:01 PM	2.54	1.04	2.28	0.00	0.00	0.00	0.00	0.00	5.86	100.00	2.02	26.55	1348	1037	1025	0	0	0	0	0	3410	183.92	8.15	2.58	10.38	7.95	11.65	18.26	1.20	27.88	26.80
6/15/2021 5:00:03 PM	2.46	0.96	2.56	0.00	0.00	0.00	0.00	0.00	5.99	100.00	2.09	26.55	1305	962	1154	0	0	0	0	0	3421	184.73	8.66	2.88	10.42	7.86	11.44	19.41	1.20	27.91	26.91
6/15/2021 5:00:06 PM	2.75	1.01	2.19	0.00	0.00	0.00	0.00	0.00	5.95	100.00	2.16	26.53	1459	1007	986	0	0	0	0	0	3452	185.15	8.06	2.67	10.42	8.20	11.46	18.48	1.21	27.93	26.88
6/15/2021 5:00:08 PM	2.99	1.07	1.97	0.15	0.00	0.00	0.00	0.00	6.19	100.00	2.22	26.52	1587	1072	887	5	0	0	0	0	3550	185.00	8.19	1.90	10.66	7.87	12.98	19.23	1.22	27.96	26.81
6/15/2021 5:00:10 PM	3.65	0.86	1.53	0.39	0.00	0.00	0.00	0.00	6.43	100.00	2.30	26.50	1935	859	689	12	0	0	0	0	3495	184.45	8.16	2.61	10.47	9.07	12.78	20.07	1.23	27.99	26.89
6/15/2021 5:00:13 PM	3.23	1.10	2.09	0.07	0.00	0.00	0.00	0.00	6.49	100.00	2.38	26.48	1711	1095	941	2	0	0	0	0	3750	184.22	8.41	2.68	11.08	8.91	12.67	19.92	1.23	27.99	26.91
6/15/2021 5:00:15 PM	2.83	1.29	2.46	0.00	0.00	0.00	0.00	0.00	6.59	100.00	2.44	26.40	1501	1293	1107	0	0	0	0	0	3901	184.24	9.02	2.70	11.77	9.13	13.35	19.96	1.24	28.03	26.91
6/15/2021 5:00:17 PM	3.29	1.75	2.49	0.00	0.00	0.00	0.00	0.00	7.53	100.00	2.52	25.91	1742	1751	1123	0	0	0	0	0	4615	183.80	9.76	3.02	14.27	10.16	15.71	21.73	1.25	28.05	26.91
6/15/2021 5:00:20 PM	3.19	1.90	2.62	0.25	0.00	0.00	0.00	0.12	7.96	100.00	2.55	25.39	1689	1905	1179	8	0	0	0	0	4780	183.52	11.19	4.16	15.75	12.04	17.28	24.06	1.25	28.07	26.93
6/15/2021 5:00:22 PM	3.37	2.22	3.36	0.05	0.00	0.00	0.00	0.01	9.00	100.00	2.58	25.11	1784	2222	1514	1	0	0	0	0	5522	183.25	12.41	4.49	17.55	12.38	18.68	26.28	1.25	28.10	26.98
6/15/2021 5:00:25 PM	3.39	2.82	3.24	0.00	0.00	0.00	0.00	0.21	9.46	100.00	2.61	24.72	1797	2824	1460	0	0	0	0	0	6082	183.68	13.01	5.30	20.41	14.63	20.73	27.43	1.26	28.10	27.00
6/15/2021 5:00:27 PM	4.59	2.62	2.79	0.00	0.00	0.00	0.00	0.00	10.00	100.00	2.64	24.47	2434	2618	1255	0	0	0	0	0	6307	182.28	11.99	3.76	19.80	13.06	20.62	27.56	1.26	28.14	26.95
6/15/2021 5:00:29 PM	4.98	2.92	2.57	0.00	0.00	0.00	0.00	0.20	10.46	100.00	2.68	24.35	2637	2916	1155	0	0	0	0	0	6708	183.10	12.52	4.25	21.88	15.68	21.45	29.47	1.26	28.16	26.94
6/15/2021 5:00:32 PM	5.36	3.15	3.31	0.00	0.00	0.00	0.00	0.12	11.82	100.00	2.69	24.08	2839	3154	1488	0	0	0	0	0	7481	182.68	14.47	4.81	23.69	16.84	23.84	33.38	1.26	28.17	27.02
6/15/2021 5:00:34 PM	5.55	3.39	3.46	0.00	0.00	0.00	0.00	0.21	12.40	100.00	2.73	23.60	2943	3392	1556	0	0	0	0	0	7891	183.07	15.38	5.98	25.94	18.51	24.22	35.48	1.27	28.20	26.99
6/15/2021 5:00:36 PM	5.47	3.26	3.21	0.00	0.00	0.00	0.00	0.14	11.94	100.00	2.75	23.40	2899	3263	1445	0	0	0	0	0	7607	182.51	14.43	5.44	24.41	17.17	23.98	33.55	1.27	28.22	27.01
6/15/2021 5:00:39 PM	5.65	3.31	3.15	0.00	0.00	0.00	0.00	0.12	12.10	100.00	2.78	23.24	2992	3312	1416	0	0	0	0	0	7720	182.44	14.37	5.09	24.55	17.06	24.47	33.63	1.27	28.21	27.07
