Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
7/1/2021 10:31:00 AM	0.00	0.37	1.06	0.40	0.00	0.00	0.00	0.16	1.83	100.00	0.16	27.32	0	374	476	12	0	0	0	0	862	184.81	5.04	1.76	4.98	4.40	7.02	7.33	1.02	25.92	25.23
7/1/2021 10:31:02 AM	0.00	0.35	0.00	0.90	0.00	0.00	0.00	0.39	1.25	100.00	0.19	27.29	0	349	0	27	0	0	0	0	377	185.77	4.85	1.98	4.18	6.18	8.82	6.18	1.02	25.96	25.30
7/1/2021 10:31:04 AM	0.67	0.30	0.71	0.10	0.00	0.00	0.00	0.21	1.77	100.00	0.23	27.28	354	300	319	3	0	0	0	0	976	183.39	3.56	1.20	4.14	4.63	5.81	7.07	1.02	25.97	25.32
7/1/2021 10:31:07 AM	0.46	0.54	0.81	0.04	0.00	0.00	0.00	0.23	1.85	100.00	0.27	27.29	242	541	365	1	0	0	0	0	1150	185.53	3.75	0.90	4.84	4.74	6.79	6.78	1.03	26.02	25.30
7/1/2021 10:31:09 AM	0.00	0.00	0.00	0.89	0.00	0.00	0.00	0.30	0.89	100.00	0.30	27.33	0	0	0	27	0	0	0	0	27	183.77	4.94	0.75	2.61	4.66	6.91	5.48	1.03	26.06	25.27
7/1/2021 10:31:11 AM	0.00	0.19	1.01	0.00	0.00	0.00	0.00	0.34	1.20	100.00	0.35	27.23	0	186	454	0	0	0	0	0	640	183.60	4.04	1.52	3.65	5.34	4.20	6.70	1.03	26.13	25.30
7/1/2021 10:31:14 AM	0.52	0.33	0.00	0.51	0.00	0.00	0.00	0.27	1.36	100.00	0.43	27.19	276	327	0	15	0	0	0	0	618	183.27	2.03	3.95	4.12	4.82	6.76	5.89	1.04	26.13	25.34
7/1/2021 10:31:16 AM	0.42	0.61	1.34	0.00	0.00	0.00	0.00	0.08	2.37	100.00	0.46	27.21	223	610	603	0	0	0	0	0	1437	183.82	4.51	2.18	6.05	4.11	6.63	7.70	1.04	26.16	25.34
7/1/2021 10:31:19 AM	0.21	0.56	1.44	0.09	0.00	0.00	0.00	0.07	2.31	100.00	0.49	27.16	113	558	649	3	0	0	0	0	1323	182.49	4.84	2.37	5.87	4.02	6.77	7.80	1.05	26.18	25.32
7/1/2021 10:31:21 AM	0.12	0.00	0.82	1.04	0.00	0.00	0.00	0.00	1.98	100.00	0.47	27.16	65	0	367	31	0	0	0	0	464	181.78	5.55	1.99	4.27	2.58	8.05	8.52	1.05	26.22	25.42
7/1/2021 10:31:23 AM	1.92	0.11	0.00	0.73	0.00	0.00	0.00	0.00	2.75	100.00	0.46	27.16	1017	109	0	22	0	0	0	0	1148	181.50	3.28	3.00	4.90	4.09	7.59	9.00	1.05	26.29	25.38
7/1/2021 10:31:26 AM	0.00	0.07	0.81	0.00	0.00	0.00	0.00	0.38	0.88	100.00	0.64	27.17	0	74	365	0	0	0	0	0	438	185.06	3.82	-0.50	3.59	5.35	3.19	6.12	1.06	26.28	25.44
7/1/2021 10:31:28 AM	1.99	0.32	0.15	0.00	0.00	0.00	0.00	0.33	2.45	100.00	0.61	27.14	1053	316	66	0	0	0	0	0	1435	187.95	3.00	1.69	4.89	6.67	5.65	9.40	1.06	26.32	25.55
7/1/2021 10:31:31 AM	0.00	0.78	1.78	0.00	0.00	0.00	0.00	0.00	2.56	100.00	0.64	27.03	0	777	802	0	0	0	0	0	1579	182.35	5.50	2.99	7.31	3.47	6.80	7.59	1.06	26.35	25.47
7/1/2021 10:31:33 AM	2.46	0.00	0.00	0.27	0.00	0.00	0.00	0.19	2.73	100.00	0.61	27.02	1306	0	0	8	0	0	0	0	1314	184.65	2.14	2.53	2.68	5.84	6.75	10.40	1.06	26.37	25.42
7/1/2021 10:31:35 AM	1.39	0.29	0.00	0.73	0.00	0.00	0.00	0.07	2.41	100.00	0.68	27.02	739	286	0	22	0	0	0	0	1047	184.70	3.56	2.99	5.52	4.20	7.72	7.97	1.07	26.43	25.44
7/1/2021 10:31:38 AM	2.10	0.40	0.00	0.00	0.00	0.00	0.00	0.25	2.51	100.00	0.73	26.94	1115	405	0	0	0	0	0	0	1520	185.90	1.61	0.85	5.06	6.00	6.36	8.55	1.07	26.45	25.60
7/1/2021 10:31:40 AM	1.87	1.07	0.43	0.00	0.00	0.00	0.00	0.00	3.38	100.00	0.79	26.86	993	1071	195	0	0	0	0	0	2260	183.37	3.40	1.87	9.36	3.45	7.95	8.15	1.08	26.49	25.54
7/1/2021 10:31:42 AM	0.72	0.21	0.13	0.82	0.00	0.00	0.00	0.32	1.89	100.00	0.88	26.95	384	209	59	25	0	0	0	0	676	185.22	4.62	3.20	5.44	6.05	7.04	8.73	1.09	26.50	25.53
7/1/2021 10:31:45 AM	1.33	0.50	0.90	0.00	0.00	0.00	0.00	0.07	2.74	100.00	0.98	27.09	707	498	407	0	0	0	0	0	1612	185.47	3.91	1.94	6.15	4.43	6.15	8.54	1.10	26.56	25.54
7/1/2021 10:31:47 AM	0.37	0.38	1.22	0.33	0.00	0.00	0.00	0.06	2.30	100.00	1.07	27.06	196	379	548	10	0	0	0	0	1134	183.50	5.01	1.90	5.31	4.05	7.18	8.24	1.11	26.57	25.62
7/1/2021 10:31:50 AM	1.35	0.13	0.00	0.67	0.00	0.00	0.00	0.27	2.15	100.00	1.16	27.01	714	134	0	20	0	0	0	0	868	184.42	3.75	2.41	4.58	5.91	7.15	9.07	1.11	26.63	25.55
7/1/2021 10:31:52 AM	1.75	0.11	0.73	0.01	0.00	0.00	0.00	0.09	2.61	100.00	1.24	27.00	929	113	329	0	0	0	0	0	1372	183.14	3.54	1.02	3.97	4.73	5.58	9.28	1.12	26.66	25.55
7/1/2021 10:31:54 AM	1.82	0.43	0.40	0.17	0.00	0.00	0.00	0.17	2.82	100.00	1.28	27.00	962	428	181	5	0	0	0	0	1576	183.00	3.72	1.89	5.70	5.58	7.01	9.47	1.12	26.70	25.55
7/1/2021 10:31:57 AM	0.54	0.00	0.05	0.84	0.00	0.00	0.00	0.32	1.44	100.00	1.33	26.93	286	0	25	25	0	0	0	0	336	185.06	4.25	2.28	3.97	5.51	6.45	7.83	1.13	26.73	25.57
7/1/2021 10:31:59 AM	1.53	0.15	0.72	0.15	0.00	0.00	0.00	0.12	2.55	100.00	1.42	26.89	813	148	322	5	0	0	0	0	1288	184.00	3.91	1.42	4.35	4.97	5.98	9.38	1.14	26.74	25.64
7/1/2021 10:32:01 AM	1.07	0.00	0.00	1.11	0.00	0.00	0.00	0.16	2.19	100.00	1.52	26.93	568	0	0	33	0	0	0	0	602	182.59	4.89	2.70	4.58	4.94	7.92	9.29	1.15	26.78	25.63
7/1/2021 10:32:04 AM	1.84	1.03	0.20	0.11	0.00	0.00	0.00	0.29	3.17	100.00	1.57	26.98	973	1026	91	3	0	0	0	0	2093	185.81	3.85	2.20	8.07	6.80	9.20	9.51	1.15	26.82	25.63
7/1/2021 10:32:06 AM	0.00	0.52	1.46	0.00	0.00	0.00	0.00	0.39	1.98	100.00	1.59	26.92	0	523	658	0	0	0	0	0	1181	186.19	5.48	1.98	5.41	6.89	6.41	9.26	1.16	26.86	25.60
7/1/2021 10:32:09 AM	0.60	0.65	1.14	0.00	0.00	0.00	0.00	0.30	2.39	100.00	1.64	26.92	315	648	514	0	0	0	0	0	1478	183.88	4.76	1.90	6.16	6.25	7.02	9.13	1.16	26.88	25.69
7/1/2021 10:32:11 AM	1.45	0.46	1.28	0.00	0.00	0.00	0.00	0.04	3.19	100.00	1.68	26.97	770	460	576	0	0	0	0	0	1806	184.89	4.79	1.78	6.42	4.89	6.56	10.32	1.16	26.90	25.69
7/1/2021 10:32:13 AM	0.55	0.29	0.92	0.42	0.00	0.00	0.00	0.20	2.19	100.00	1.75	26.94	290	295	416	13	0	0	0	0	1013	183.34	5.01	1.66	4.96	5.31	7.25	9.00	1.17	26.93	25.73
7/1/2021 10:32:16 AM	0.00	0.25	0.14	0.95	0.00	0.00	0.00	0.47	1.34	100.00	1.81	26.89	0	253	62	29	0	0	0	0	343	183.51	5.36	2.01	4.91	6.86	7.95	8.10	1.18	26.97	25.69
7/1/2021 10:32:18 AM	2.10	0.27	0.00	0.07	0.00	0.00	0.00	0.26	2.44	100.00	1.86	26.87	1111	270	0	2	0	0	0	0	1383	183.24	2.28	1.87	4.30	5.93	6.14	8.81	1.18	27.00	25.74
7/1/2021 10:32:21 AM	2.10	0.20	0.82	0.00	0.00	0.00	0.00	0.00	3.12	100.00	1.90	26.87	1112	203	370	0	0	0	0	0	1684	184.19	3.71	1.27	4.80	4.20	6.13	10.12	1.19	27.01	25.82
7/1/2021 10:32:23 AM	1.60	0.44	0.33	0.25	0.00	0.00	0.00	0.17	2.62	100.00	1.96	26.84	848	443	149	7	0	0	0	0	1448	183.79	3.74	0.90	5.28	5.27	7.73	8.80	1.19	27.06	25.79
