Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
8/19/2024 12:10:11 PM	18.31	1.68	0.00	1.48	0.00	0.00	0.00	0.94	21.47	80.41	0.02	24.54	9705	1678	0	44	0	0	0	0	11428	146.66	17.44	7.48	26.50	61.97	29.90	72.91	1.00	21.01	21.13
8/19/2024 12:10:13 PM	20.18	0.95	4.74	0.00	0.00	0.00	0.00	0.12	25.87	82.96	0.18	24.45	10696	946	2134	0	0	0	0	0	13776	151.31	23.21	4.87	28.25	62.68	25.65	86.42	1.02	21.01	21.15
8/19/2024 12:10:16 PM	24.14	0.00	2.52	0.00	0.00	0.00	0.00	0.00	26.67	86.91	0.43	24.48	12796	0	1135	0	0	0	0	0	13931	158.52	19.46	0.99	24.79	62.18	24.40	91.02	1.04	21.08	21.21
8/19/2024 12:10:19 PM	20.03	0.00	4.63	0.71	0.00	0.00	0.00	0.10	25.38	83.97	0.55	24.38	10617	0	2086	21	0	0	0	0	12724	153.16	24.03	5.76	24.25	62.66	26.60	87.98	1.05	21.10	21.16
8/19/2024 12:10:22 PM	20.56	0.42	5.16	0.37	0.00	0.00	0.00	0.06	26.51	85.62	0.66	24.28	10898	420	2320	11	0	0	0	0	13649	156.17	24.53	8.39	27.27	64.23	26.03	90.25	1.06	21.16	21.18
8/19/2024 12:10:24 PM	22.41	0.13	2.77	0.90	0.00	0.00	0.00	0.16	26.21	84.65	0.73	24.29	11876	132	1248	27	0	0	0	0	13282	154.39	22.24	4.95	25.62	65.06	28.02	89.44	1.07	21.20	21.24
8/19/2024 12:10:27 PM	22.20	0.46	2.03	1.44	0.00	0.00	0.00	0.56	26.14	84.78	0.87	24.30	11769	464	912	43	0	0	0	0	13188	154.63	23.04	7.99	28.16	69.79	29.19	90.69	1.09	21.24	21.23
8/19/2024 12:10:30 PM	23.17	0.29	1.82	1.36	0.00	0.00	0.00	0.29	26.65	85.52	1.00	24.25	12278	294	820	41	0	0	0	0	13433	155.98	22.25	7.08	27.63	67.48	29.10	90.81	1.10	21.29	21.26
8/19/2024 12:10:33 PM	24.30	0.91	2.41	0.15	0.00	0.00	0.00	0.08	27.78	86.95	1.13	24.17	12878	913	1087	5	0	0	0	0	14882	158.59	20.64	4.85	28.03	66.30	28.88	90.98	1.11	21.33	21.31
8/19/2024 12:10:36 PM	21.94	0.00	4.99	0.28	0.00	0.00	0.00	0.05	27.22	87.01	1.23	24.18	11627	0	2247	9	0	0	0	0	13882	158.70	24.35	7.41	25.69	66.28	25.96	93.72	1.12	21.36	21.27
8/19/2024 12:10:38 PM	25.57	0.66	1.83	0.49	0.00	0.00	0.00	0.13	28.54	86.03	1.29	24.21	13552	661	821	15	0	0	0	0	15048	156.91	20.93	6.06	28.77	69.13	29.16	94.36	1.13	21.40	21.36
8/19/2024 12:10:41 PM	23.07	0.00	2.52	1.33	0.00	0.00	0.00	0.18	26.92	85.95	1.30	24.12	12226	0	1134	40	0	0	0	0	13400	156.77	23.22	5.52	25.92	67.16	29.70	92.46	1.13	21.45	21.36
8/19/2024 12:10:44 PM	21.69	1.18	4.10	0.00	0.00	0.00	0.00	0.34	26.97	86.42	1.35	24.07	11497	1181	1846	0	0	0	0	0	14524	157.63	23.08	6.13	28.72	67.86	28.21	90.46	1.13	21.49	21.37
8/19/2024 12:10:47 PM	22.91	0.00	1.61	1.85	0.00	0.00	0.00	0.23	26.37	85.69	1.45	23.98	12142	0	725	55	0	0	0	0	12923	156.29	22.72	7.66	27.18	66.45	29.36	90.51	1.14	21.51	21.39
8/19/2024 12:10:50 PM	23.63	0.23	1.57	1.48	0.00	0.00	0.00	0.00	26.90	85.23	1.55	23.99	12522	230	704	44	0	0	0	0	13501	155.46	21.46	7.33	27.96	63.50	29.08	90.22	1.15	21.56	21.42
