
Advanced Calibration Data
,Temperature,Cal Date, Tm, Tzs, Tb
,Pressure,Cal Date,m2,m1,m0,b2,b1,b0,Linear(a),Linear(b)
,Temperature,unknown,0.000000,0.00,0.000000
,Pressure,25-Mar-13 09:51:57,0.000000,-0.000063,1.000679,0.000009,0.000455,0.153440,0.000000,1.000000

Field Calibration Data
,Temperature,Cal Date,m,b
,Pressure,Cal Date,m,b
,Temperature(degC),unknown,1.000000,0.00
,Pressure(psi),unknown,1.000000,0.00

Sensor/Session information
SensorSN, 21309003 ,,Modbus Addr., 2 
Sensor Type,PT2X,,Initialized w/fw Rev,"2. 9"
Sensor Name,INW Smart Sensor,,Uploaded,"Aqua4Plus 1.9.6"
Session Name,FCR_INF_20211214,,Exported,"Aqua4Plus 1.9.6"
# Records,  4126 
Statistical Data,,Temperature(degC),Pressure(psi),
,Sensor Range,-40 - +125 degC,30 psia,
,Minimum,-0.50,13.712,
,Maximum,13.63,14.333,
,Mean,4.28,14.087,
,Variance,14.915,0.0119,
,Std Deviation,3.862,0.1089,
,,,,
,Field Cal Date,unknown,unknown,
Rec #,Date/Time,Temperature(degC),Pressure(psi)
1,14-Dec-21 11:58:49,5.75,14.287
2,14-Dec-21 12:13:49,5.81,14.285
3,14-Dec-21 12:28:49,5.94,14.281
4,14-Dec-21 12:43:49,6.06,14.277
5,14-Dec-21 12:58:49,6.25,14.275
6,14-Dec-21 13:13:49,6.50,14.273
7,14-Dec-21 13:28:49,6.69,14.270
8,14-Dec-21 13:43:49,6.69,14.270
9,14-Dec-21 13:58:49,6.69,14.267
10,14-Dec-21 14:13:49,6.75,14.266
11,14-Dec-21 14:28:49,6.81,14.264
12,14-Dec-21 14:43:49,6.88,14.264
13,14-Dec-21 14:58:49,6.81,14.263
14,14-Dec-21 15:13:49,6.81,14.265
15,14-Dec-21 15:28:49,6.75,14.269
16,14-Dec-21 15:43:49,6.63,14.272
17,14-Dec-21 15:58:49,6.56,14.275
18,14-Dec-21 16:13:49,6.38,14.278
19,14-Dec-21 16:28:49,6.19,14.278
20,14-Dec-21 16:43:49,5.94,14.275
21,14-Dec-21 16:58:49,5.69,14.277
22,14-Dec-21 17:13:49,5.50,14.280
23,14-Dec-21 17:28:49,5.31,14.281
24,14-Dec-21 17:43:49,5.25,14.283
25,14-Dec-21 17:58:49,5.13,14.284
26,14-Dec-21 18:13:49,5.00,14.285
27,14-Dec-21 18:28:49,4.94,14.288
28,14-Dec-21 18:43:49,4.88,14.292
29,14-Dec-21 18:58:49,4.81,14.296
30,14-Dec-21 19:13:49,4.69,14.297
31,14-Dec-21 19:28:49,4.63,14.298
32,14-Dec-21 19:43:49,4.56,14.296
33,14-Dec-21 19:58:49,4.50,14.300
34,14-Dec-21 20:13:49,4.44,14.303
35,14-Dec-21 20:28:49,4.38,14.308
36,14-Dec-21 20:43:49,4.38,14.309
37,14-Dec-21 20:58:49,4.31,14.306
38,14-Dec-21 21:13:49,4.25,14.306
39,14-Dec-21 21:28:49,4.19,14.307
40,14-Dec-21 21:43:49,4.19,14.309
41,14-Dec-21 21:58:49,4.19,14.309
42,14-Dec-21 22:13:49,4.13,14.313
43,14-Dec-21 22:28:49,4.06,14.312
44,14-Dec-21 22:43:49,4.00,14.312
45,14-Dec-21 22:58:49,4.00,14.312
46,14-Dec-21 23:13:49,3.94,14.314
47,14-Dec-21 23:28:49,4.00,14.313
48,14-Dec-21 23:43:49,3.94,14.313
