No. ,Hole  Pos.,Weight  [mg],Name  ,Method  ,N  Area,C  Area,N  [%],C  [%],N  Factor,C  Factor,N  Blank,C  Blank,C/N  ratio,Memo  ,Info  ,Date,Time
1,1,50,machine blank,blank,0,1550,0,0.939,1,1,0,0,0,,Npe,3/24/22,9:48:59 AM
2,2,50,machine blank,blank,141,4689,0.097,2.782,1,1,0,0,28.7706,,,3/24/22,9:56:37 AM
3,3,50,crucible blank,very low,144,127,0.099,0.049,1,1,0,0,0.4962,,Cu,3/24/22,10:07:12 AM
4,4,9.8,RunIn,very low,3033,11534,11.136,36.336,1,1,0,0,3.2629,,,3/24/22,10:17:52 AM
5,5,10.07,aspartic acid,very low,3175,11827,10.52,36.06,0.9299,0.9948,0,0,3.4278,,,3/24/22,10:28:28 AM
6,6,9.76,aspartic acid,very low,3133,11373,10.52,36.06,0.9126,1.0022,0,0,3.4278,,,3/24/22,10:39:06 AM
7,7,10.52,aspartic acid,very low,3343,12446,10.52,36.06,0.9253,0.988,0,0,3.4278,,,3/24/22,10:49:44 AM
8,8,600.02,internal reference zzyzx,very low,495,4821,0.029,0.236,0.9226,0.995,0,0,8.1225,,,3/24/22,11:00:18 AM
9,9,616.71,internal reference zzyzx,very low,403,4811,0.023,0.23,0.9226,0.995,0,0,10.0519,,,3/24/22,11:10:54 AM
10,10,618.19,internal reference zzyzx,very low,506,4878,0.029,0.232,0.9226,0.995,0,0,8.0199,,,3/24/22,11:21:35 AM
14,14,50,F17Jun19_4m_F1,very low,2748,6719,1.837,4.16,0.9226,0.995,0,0,2.2654,,,3/24/22,12:04:13 PM
15,15,50,F10Jun19_4m_F2,very low,4513,7926,2.935,4.894,0.9226,0.995,0,0,1.6671,,,3/24/22,12:14:52 PM
16,16,50,F27May19_8m_F2,very low,4516,9946,2.937,6.121,0.9226,0.995,0,0,2.084,,,3/24/22,12:25:33 PM
17,17,50,B16May19_10m_F2,very low,5697,15346,3.674,9.404,0.9226,0.995,0,0,2.5598,,,3/24/22,12:36:11 PM
18,18,50,B22Aug19_10m_F2,very low,4459,10428,2.902,6.414,0.9226,0.995,0,0,2.2103,,,3/24/22,12:46:51 PM
19,19,50,F2Sep19_4m_F2,very low,3682,5212,2.418,3.034,0.9226,0.995,0,0,1.2548,,,3/24/22,12:57:30 PM
20,20,50,B8Aug19_10m_F1,very low,6778,10539,4.347,6.481,0.9226,0.995,0,0,1.491,,,3/24/22,1:08:09 PM
21,21,50,B8Aug19_5m_F2,very low,3953,10194,2.587,6.272,0.9226,0.995,0,0,2.4247,,,3/24/22,1:18:50 PM
22,22,9.52,aa as unknown,very low,3082,11210,10.739,36.185,0.9226,0.995,0,0,3.3695,,,3/24/22,1:29:39 PM
23,23,50,F27Sep19_4m_F2,very low,3058,8893,2.03,5.481,0.9226,0.995,0,0,2.7008,,,3/24/22,1:40:18 PM
24,24,50,F5Aug19_4m_F1,very low,2518,10669,1.693,6.561,0.9226,0.995,0,0,3.8752,,,3/24/22,1:51:04 PM
25,25,50,F11Oct19_8m_F1,very low,2705,9274,1.81,5.713,0.9226,0.995,0,0,3.1565,,,3/24/22,2:01:46 PM
26,26,50,B20Sep19_10m_F1,very low,3202,9871,2.119,6.076,0.9226,0.995,0,0,2.8674,,,3/24/22,2:12:30 PM
27,27,50,B16May19_5m_F1,very low,3837,11846,2.515,7.276,0.9226,0.995,0,0,2.8932,,,3/24/22,2:23:15 PM
28,28,50,F8Nov19_4m_F2,very low,3451,15329,2.274,9.393,0.9226,0.995,0,0,4.1302,,,3/24/22,2:34:02 PM
29,29,50,F8Jul19_4m_F2,very low,7205,25037,4.613,15.296,0.9226,0.995,0,0,3.3155,,,3/24/22,2:44:49 PM
64,83,0,,,0,0,0,0,0.9226,0.995,0,0,0,,,,
