No. ,Hole  Pos.,Weight  [mg],Name  ,Method  ,N  Area,C  Area,N  [%],C  [%],N  Factor,C  Factor,N  Blank,C  Blank,C/N  ratio,Memo  ,Info  ,Date,Time
1,1,50,machine blank,blank,137,269,0.093,0.104,1,1,0,0,1.1159,,Cu,1/26/23,3:09:49 PM
2,2,50,machine blank,blank,178,5044,0.126,2.965,1,1,0,0,23.5143,,,1/26/23,3:17:14 PM
3,3,50,crucible blank,very low,117,233,0.078,0.09,1,1,0,0,1.1616,,Cu,1/26/23,3:27:47 PM
4,4,10.03,RunIn,very low,3353,12033,11.957,37.022,1,1,0,0,3.0963,,,1/26/23,3:38:27 PM
5,5,10.13,aspartic acid,very low,3281,12057,10.52,36.06,0.9069,0.9818,0,0,3.4278,,,1/26/23,3:49:02 PM
6,6,9.86,aspartic acid,very low,3262,11781,10.52,36.06,0.8876,0.9778,0,0,3.4278,,,1/26/23,3:59:42 PM
7,7,10.22,aspartic acid,very low,3278,12106,10.52,36.06,0.9158,0.9866,0,0,3.4278,,,1/26/23,4:10:18 PM
8,8,20,f13sep22_4m_f3,very low,5318,11448,8.415,17.356,0.9034,0.9821,0,0,2.0626,,,1/26/23,4:20:58 PM
9,9,20,f17may22_4m_f3,very low,6030,14115,9.501,21.356,0.9034,0.9821,0,0,2.2478,,,1/26/23,4:31:31 PM
10,10,20,f17may22_8m_f3,very low,7107,5485,11.145,7.819,0.9034,0.9821,0,0,0.7015,,,1/26/23,4:42:07 PM
11,11,20,b2may22_8m_f3,very low,6073,7129,9.566,10.881,0.9034,0.9821,0,0,1.1374,,,1/26/23,4:52:44 PM
12,12,20,b2may22_4m_f3,very low,6434,8814,10.118,13.407,0.9034,0.9821,0,0,1.3251,,,1/26/23,5:03:22 PM
13,13,20,f2may22_8m_f3,very low,5016,5531,7.954,7.874,0.9034,0.9821,0,0,0.9899,,,1/26/23,5:14:02 PM
14,14,20,f2may22_4m_f3,very low,6169,7934,9.712,12.087,0.9034,0.9821,0,0,1.2445,,,1/26/23,5:24:39 PM
15,15,20,f31may22_4m_f3,very low,8676,10636,13.54,16.139,0.9034,0.9821,0,0,1.1919,,,1/26/23,5:35:17 PM
16,16,20,b17may22_8m_f3,very low,5988,6994,9.436,10.677,0.9034,0.9821,0,0,1.1315,,,1/26/23,5:45:55 PM
17,17,20,b17may22_4m_f3,very low,5398,6147,8.537,9.408,0.9034,0.9821,0,0,1.1021,,,1/26/23,5:56:31 PM
18,18,10.35,aa as unknown,very low,3452,12309,10.76,36.033,0.9034,0.9821,0,0,3.3487,,,1/26/23,6:07:14 PM
19,19,20,b31may22_8m_f3,very low,7506,8319,11.753,12.664,0.9034,0.9821,0,0,1.0775,,,1/26/23,6:17:54 PM
20,20,20,b31may22_4m_f3,very low,5184,10794,8.21,16.375,0.9034,0.9821,0,0,1.9945,,,1/26/23,6:28:34 PM
21,21,20,f31may22_8m_f3,very low,6744,11539,10.59,17.493,0.9034,0.9821,0,0,1.6519,,,1/26/23,6:39:15 PM
22,22,20,b13jun22_4m_f3,very low,5636,8492,8.9,12.924,0.9034,0.9821,0,0,1.4521,,,1/26/23,6:49:59 PM
23,23,20,f13jun22_8m_f3,very low,7951,20693,12.432,31.224,0.9034,0.9821,0,0,2.5115,,,1/26/23,7:00:44 PM
24,24,20,f27jun22_8m_f3,very low,4728,12267,7.514,18.585,0.9034,0.9821,0,0,2.4733,,,1/26/23,7:11:30 PM
25,25,20,f27jun22_4m_f3,very low,6987,8885,10.961,13.514,0.9034,0.9821,0,0,1.2329,,,1/26/23,7:22:16 PM
26,26,20,f13jun22_4m_f3,very low,2796,5815,4.569,8.211,0.9034,0.9821,0,0,1.7969,,,1/26/23,7:32:58 PM
27,27,20,f11jul22_4m_f3,very low,6882,6804,10.801,10.392,0.9034,0.9821,0,0,0.9622,,,1/26/23,7:43:42 PM
28,28,20,b27jun22_8m_f3,very low,7170,12391,11.241,18.77,0.9034,0.9821,0,0,1.6697,,,1/26/23,7:54:29 PM
29,29,10.18,aa as unknown,very low,3244,12047,10.317,35.862,0.9034,0.9821,0,0,3.476,,,1/26/23,8:05:09 PM
30,30,20,b13jun22_8m_f3,very low,6174,8467,9.72,12.886,0.9034,0.9821,0,0,1.3257,,,1/26/23,8:15:55 PM
31,31,20,b27jun22_4m_f3,very low,6785,21198,10.653,31.981,0.9034,0.9821,0,0,3.0022,,,1/26/23,8:26:42 PM
32,32,20,b28nov22_4m_f3,very low,5490,8409,8.677,12.799,0.9034,0.9821,0,0,1.475,,,1/26/23,8:37:26 PM
33,33,20,b16nov22_8m_f3,very low,6522,11817,10.251,17.91,0.9034,0.9821,0,0,1.7471,,,1/26/23,8:48:11 PM
34,34,20,f16nov22_4m_f3,very low,5862,11770,9.245,17.839,0.9034,0.9821,0,0,1.9295,,,1/26/23,8:59:00 PM
35,35,20,f28nov22_8m_f3,very low,5430,15191,8.585,22.969,0.9034,0.9821,0,0,2.6756,,,1/26/23,9:09:47 PM
36,36,20,b16nov22_4m_f3,very low,2835,7556,4.628,11.521,0.9034,0.9821,0,0,2.4891,,,1/26/23,9:20:32 PM
37,37,20,b8nov22_8m_f3,very low,8046,9175,12.578,13.947,0.9034,0.9821,0,0,1.1089,,,1/26/23,9:31:19 PM
38,38,20,f1nov22_4m_f3,very low,5225,16243,8.273,24.548,0.9034,0.9821,0,0,2.9673,,,1/26/23,9:42:06 PM
39,39,20,f1nov22_8m_f3,very low,7460,23018,11.683,34.712,0.9034,0.9821,0,0,2.9712,,,1/26/23,9:52:53 PM
40,40,10.1,aa as unknown,very low,3279,11934,10.504,35.812,0.9034,0.9821,0,0,3.4093,,,1/26/23,10:03:39 PM
41,41,20,b8nov22_4m_f3,very low,8948,17566,13.956,26.532,0.9034,0.9821,0,0,1.9011,,,1/26/23,10:14:25 PM
42,42,20,b24oct22_8m_f3,very low,6233,12147,9.81,18.404,0.9034,0.9821,0,0,1.876,,,1/26/23,10:25:09 PM
43,43,20,b24oct22_4m_f3,very low,6847,10925,10.748,16.572,0.9034,0.9821,0,0,1.542,,,1/26/23,10:35:54 PM
44,44,20,f17oct22_8m_f3,very low,4889,12640,7.759,19.144,0.9034,0.9821,0,0,2.4673,,,1/26/23,10:46:40 PM
45,45,20,f21may18_4m_r1f2_r2f5,very low,6033,10337,9.505,15.69,0.9034,0.9821,0,0,1.6507,,,1/26/23,10:57:23 PM
46,46,20,f16jul18_4m_r2f4_r1f2,very low,6174,4646,9.72,6.775,0.9034,0.9821,0,0,0.697,,,1/26/23,11:08:05 PM
47,47,20,f2jul18_4m_r1f2_r2f4,very low,6211,4505,9.777,6.592,0.9034,0.9821,0,0,0.6742,,,1/26/23,11:18:47 PM
48,48,20,f23jul18_8m_r2f4_r1f2,very low,6479,6236,10.185,9.541,0.9034,0.9821,0,0,0.9367,,,1/26/23,11:29:33 PM
49,49,20,f11jun18_8m_r1f2_r2f4,very low,4229,9280,6.754,14.105,0.9034,0.9821,0,0,2.0884,,,1/26/23,11:40:20 PM
50,50,20,f25jun18_8m_r2f8_r1f6,very low,5898,6262,9.3,9.58,0.9034,0.9821,0,0,1.0301,,,1/26/23,11:51:04 PM
51,51,10.33,aa as unknown,very low,3314,12226,10.376,35.862,0.9034,0.9821,0,0,3.4563,,,1/27/23,12:01:49 AM
52,52,20,f4jun18_4m_r2f4_r1f2,very low,5593,10133,8.833,15.384,0.9034,0.9821,0,0,1.7416,,,1/27/23,12:12:33 AM
53,53,20,f28may18_8m_r2f4_r1f2,very low,5600,6296,8.845,9.631,0.9034,0.9821,0,0,1.0888,,,1/27/23,12:23:20 AM
54,54,20,f25jun18_4m_r2f4_r1f2,very low,2607,5718,4.281,8.097,0.9034,0.9821,0,0,1.8916,,,1/27/23,12:34:07 AM
55,55,20,f9jul18_8m_r1f2_r2f4,very low,4998,7444,7.927,11.353,0.9034,0.9821,0,0,1.4322,,,1/27/23,12:44:54 AM
56,56,20,f8oct18_4m_r2f4_r1f2,very low,3470,3814,5.596,5.668,0.9034,0.9821,0,0,1.0129,10/8/18. Is this oct or aug,,1/27/23,12:55:36 AM
57,57,20,b5oct18_4m_r2f4_r1f2,very low,6176,6432,9.724,9.835,0.9034,0.9821,0,0,1.0115,10/5/18,,1/27/23,1:06:17 AM
58,58,20,b5oct18_8m_r2f4_r1f2,very low,5708,6508,9.009,9.949,0.9034,0.9821,0,0,1.1043,10/5/18,,1/27/23,1:16:55 AM
59,59,20,f29oct18_8m_r2f4_r1f2,very low,7056,5683,11.066,8.055,0.9034,0.9821,0,0,0.7279,29-Oct,,1/27/23,1:27:34 AM
60,60,20,f29oct18_4m_r2f4_r1f2,very low,4214,5850,6.731,8.251,0.9034,0.9821,0,0,1.2259,all 2018 dates are written in an ambiguous format,,1/27/23,1:38:15 AM
61,61,20,f22oct18_8m_r1f2_r2f4,very low,5170,9706,8.189,14.744,0.9034,0.9821,0,0,1.8005,all 2018 dates are written in an ambiguous format,,1/27/23,1:48:55 AM
62,62,10.49,aa as unknown,very low,3447,12524,10.603,36.166,0.9034,0.9821,0,0,3.411,all 2018 dates are written in an ambiguous format,,1/27/23,1:59:36 AM
63,63,20,f3sep18_4m_r1f2_r2f4,very low,4717,5467,7.497,7.797,0.9034,0.9821,0,0,1.04,all 2018 dates are written in an ambiguous format,,1/27/23,2:10:12 AM
64,64,20,b7sep18_4m_r2f4_r1f2,very low,4441,9409,7.077,14.299,0.9034,0.9821,0,0,2.0204,all 2018 dates are written in an ambiguous format,,1/27/23,2:20:48 AM
65,65,20,f13aug18_8m_r1f2_r2f4,very low,5617,5448,8.87,7.775,0.9034,0.9821,0,0,0.8765,all 2018 dates are written in an ambiguous format,,1/27/23,2:31:23 AM
66,66,20,f20aug18_4m_r2f4_r1f2,very low,7199,7281,11.284,11.108,0.9034,0.9821,0,0,0.9844,all 2018 dates are written in an ambiguous format,,1/27/23,2:41:59 AM
67,67,20,f27aug18_8m_r2f4_r1f2,very low,4061,6181,6.498,9.458,0.9034,0.9821,0,0,1.4556,all 2018 dates are written in an ambiguous format,,1/27/23,2:52:35 AM
68,68,20,b2aug18_8m_r2f4_r1f2,very low,4207,5327,6.72,7.628,0.9034,0.9821,0,0,1.135,all 2018 dates are written in an ambiguous format,,1/27/23,3:03:10 AM
69,69,20,b21sep18_4m_r2f4_r1f2,very low,5210,7788,8.25,11.868,0.9034,0.9821,0,0,1.4385,all 2018 dates are written in an ambiguous format,,1/27/23,3:14:00 AM
70,70,611.34,internal reference zzyzx,very low,515,4872,0.029,0.231,0.9034,0.9821,0,0,7.934,,,1/27/23,3:24:50 AM
71,71,631.99,internal reference zzyzx,very low,399,4869,0.022,0.223,0.9034,0.9821,0,0,10.3372,,,1/27/23,3:35:37 AM
72,72,601.21,internal reference zzyzx,very low,519,4675,0.03,0.227,0.9034,0.9821,0,0,7.5957,,,1/27/23,3:46:26 AM
73,73,9.97,aa as unknown,very low,3193,11860,10.38,36.057,0.9034,0.9821,0,0,3.4738,,,1/27/23,3:57:16 AM
74,74,0,,,0,0,0,0,0.9034,0.9821,0,0,0,,,,
