"Sample","Date","Filter1ID","Filter2ID","Rack","Carousel","SampleNum","Filter1Mass_g","Filter2Mass_g","AcidVol_L","Vol_acid_used_in_dilution_L","Vol_diluted_L","Duration_days","Reservoir","Depth_m","Site","TrapXSA_m2","CombinedCollectionVol_L","CombinedFilterVol_L","CombinedSedMass_g","CombinedXSA_m2","Flag_CombinedCollectionVol_L","Flag_Filter2ID","Flag_CombinedSedMass_g","Flag_ICPTLi_mgL","Flag_ICPTNa_mgL","Flag_ICPTMg_mgL","Flag_ICPTAl_mgL","Flag_ICPTK_mgL","Flag_ICPTCa_mgL","Flag_ICPTFe_mgL","Flag_ICPTMn_mgL","Flag_ICPTCu_mgL","Flag_ICPTSr_mgL","Flag_ICPTBa_mgL","nTraps","ICPTLi_mgL","ICPTNa_mgL","ICPTMg_mgL","ICPTAl_mgL","ICPTK_mgL","ICPTCa_mgL","ICPTFe_mgL","ICPTMn_mgL","ICPTCu_mgL","ICPTSr_mgL","ICPTBa_mgL","DilutionFactor","TLi_g","TNa_g","TMg_g","TAl_g","TK_g","TCa_g","TFe_g","TMn_g","TCu_g","TSr_g","TBa_g","TLiFlux_gm2d","TNaFlux_gm2d","TMgFlux_gm2d","TAlFlux_gm2d","TKFlux_gm2d","TCaFlux_gm2d","TFeFlux_gm2d","TMnFlux_gm2d","TCuFlux_gm2d","TSrFlux_gm2d","TBaFlux_gm2d"
"5",2023-04-24,"B_sed_4m_R1_F1_24Apr23","B_sed_4m_R1_F2_24Apr23",1,NA,1,0.016,0.02,0.01,5e-04,0.01,14,"BVR",4,50,0.0040715,1.724,0.322,0.036,0.0040715,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0221178173767589,0.316492583769719,1.01350265823003,17.8491805668956,1.04088186260614,2.71549030450964,25.4055600933923,3.74476181719978,0.011418996693173,0.024110076539796,0.211468469390517,20,2.36839237003306e-05,0.00033890261765155,0.0010852662004898,0.0191130355884025,0.00111458405660433,0.00290776725774821,0.0272044631062163,0.00400991886512573,1.2227546769584e-05,2.58172496612473e-05,0.00022644201318587,0.000415500143862926,0.00594555565080525,0.0190394238783494,0.335310531190725,0.0195537632077391,0.0510125657049562,0.477262909531698,0.0703482195948444,0.000214514600964615,0.000452926258508576,0.00397259720330995
"6",2023-04-24,"B_sed_4m_R2_F1_24Apr23","B_sed_4m_R2_F2_24Apr23",2,NA,2,0.01,0.009,0.01,5e-04,0.01,14,"BVR",4,50,0.0040715,1.74,0.5,0.019,0.0040715,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.00907640245316422,0.178600181431522,0.314708615631202,3.91337783303273,0.289217056734889,1.078907745831,8.07496654823861,1.2119472791632,0.00780154155534025,0.0094157566748137,0.0759778922211307,20,6.3171761074023e-06,0.000124305726276339,0.000219037196479316,0.00272371097179078,0.000201295071487483,0.000750919791098373,0.00562017671757407,0.000843515306297589,5.42987292251681e-06,6.55336664567033e-06,5.2880612985907e-05,0.000110825706696414,0.00218076395635759,0.00384269041734911,0.0477835647057207,0.00353143052731501,0.0131738003034749,0.098597861749339,0.0147982545270713,9.52592572501677e-05,0.000114969327655135,0.00092771377670404
"7",2023-04-24,"B_sed_8m_R1_F1_24Apr23","B_sed_8m_R1_F2_24Apr23",3,NA,3,0.014,0.015,0.01,5e-04,0.01,14,"BVR",8,50,0.0040715,1.714,0.202,0.029,0.0040715,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.018437939860886,0.455346239362129,0.576281359975185,8.47860496717497,0.645938382996883,2.04685127193447,23.1776273790242,3.10721413336575,0.00952029304703017,0.0174434482218901,0.1695922512706,20,3.12897316055035e-05,0.000772736093333356,0.000977966585146006,0.0143884444690474,0.00109617662223431,0.00347356740603533,0.0393331221065817,0.0052730346778108,1.61562200817918e-05,2.96020497547719e-05,0.00028780308779981,0.000548933029341652,0.0135565357332916,0.0171570075112017,0.252424421835537,0.0192308314281208,0.0609387099530768,0.690042667787963,0.0925077573693584,0.000283437484987839,0.000519325095257485,0.00504908839844581
"8",2023-04-24,"B_sed_8m_R2_F1_24Apr23","B_sed_8m_R2_F2_24Apr23",4,NA,4,0.006,0.007,0.01,5e-04,0.01,14,"BVR",8,50,0.0040715,1.69,0.2,0.013,0.0040715,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.00972406622162394,0.196628687391249,0.226652095889361,2.76195031151663,0.215782117250235,1.01479057794865,8.26580609249766,1.16171188671529,0.00257062240662013,0.00881581730174955,0.0848604911295807,20,1.64336719145445e-05,0.00033230248169121,0.00038304204205302,0.00466769602646311,0.000364671778152897,0.00171499607673321,0.013969212296321,0.00196329308854883,4.34435186718802e-06,1.48987312399567e-05,0.000143414230008991,0.000288304975606471,0.0058297658232524,0.00671991793219453,0.081887967342031,0.00639763825464285,0.0300871226247471,0.245069600468782,0.0344431341300825,7.62153623127317e-05,0.000261376664268289,0.00251599498270191
"1",2023-05-01,"F_sed_4m_R1_F1_01May23","F_sed_4m_R1_F2_01May23",5,NA,5,0.009,0.009,0.01,5e-04,0.01,21,"FCR",4,50,0.0040715,1.822,0.4,0.018,0.0040715,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0114741335998193,0.217853619930462,0.371740100916584,4.79259765836831,0.28929139916854,1.34386228673392,9.17905572307723,1.57588378911709,0.0145396349512143,0.0119675335198836,0.0706101621132911,20,1.04529357094354e-05,0.00019846464775665,0.000338655231935008,0.00436605646677353,0.00026354446464254,0.0012242585432146,0.00836211976372335,0.00143563013188567,1.32456074405563e-05,1.0902423036614e-05,6.43258576852082e-05,0.000122254413190826,0.00232118322785741,0.00396081041777054,0.0510640920542158,0.00308233732323456,0.0143185621680859,0.0978008545314802,0.0167907011208654,0.000154916667433393,0.000127511482682923,0.000752336013815058
"2",2023-05-01,"F_sed_4m_R2_F1_01May23","F_sed_4m_R2_F2_01May23",6,NA,6,0.009,0.008,0.01,5e-04,0.01,21,"FCR",4,50,0.0040715,1.816,0.36,0.017,0.0040715,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0164377357038153,0.247276299557358,0.474000353961463,5.95720842188405,0.369850276394419,2.07855547616407,10.2362362481742,1.64009560052774,0.0153990822197159,0.0176736247339647,0.0758407670059676,20,1.65838489100714e-05,0.000249474311108979,0.000478213690441121,0.00601016138563414,0.000373137834406814,0.00209703152484108,0.0103272250148246,0.00165467422808799,1.55359629505579e-05,1.78307236204889e-05,7.65149071571318e-05,0.000193959742344537,0.00291777701103465,0.0055930444546718,0.0702930520006566,0.00436410863443114,0.0245262542159036,0.120784138463356,0.0193525754295303,0.000181703981223229,0.000208542816447535,0.000894895494899292
"3",2023-05-01,"F_sed_8m_R1_F1_01May23","F_sed_8m_R1_F2_01May23",7,NA,7,0.007,0.009,0.01,5e-04,0.01,21,"FCR",8,50,0.0040715,1.798,0.202,0.016,0.0040715,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.00967301432030329,0.180187624620126,0.278648655904927,3.06087823561142,0.207040546090133,1.19114406863077,8.34122915739377,0.701647992609733,0.019264069466934,0.0100838014898792,0.0424852101169444,20,1.72198809385201e-05,0.000320769652541571,0.000496049785462434,0.00544896937389043,0.000368573170168376,0.00212047231227536,0.0148490396287069,0.00124907236704188,3.42938583183637e-05,1.79511634443592e-05,7.56320869210555e-05,0.000201398582931529,0.00375162602459104,0.00580165009341865,0.0637295178902175,0.0043107216852146,0.0248004106626827,0.173669931272632,0.0146087772383161,0.000401090721430193,0.000209951444645523,0.000884570293165097
"4",2023-05-01,"F_sed_8m_R2_F1_01May23","F_sed_8m_R2_F2_01May23",8,NA,8,0.007,0.007,0.01,5e-04,0.01,21,"FCR",8,50,0.0040715,1.752,0.2,0.014,0.0040715,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.00926386554773501,0.181152397596172,0.276317773203226,2.96859581823362,0.204594052367019,1.18007996429138,8.56832202347495,0.740258775207233,0.019663917080656,0.00996186509345658,0.0430520613597264,20,1.62302924396317e-05,0.000317379000588493,0.000484108738652052,0.0052009798735453,0.000358448779747017,0.00206750009743849,0.0150117001851281,0.00129693337416307,3.44511827253092e-05,1.74531876437359e-05,7.54272115022406e-05,0.000189824651493035,0.00371196997232204,0.00566199117737176,0.0608291067822822,0.00419230983955857,0.0241808634636643,0.175572360544881,0.0151685452788907,0.000402930740692377,0.00020412726845419,0.000882174131474192
"1",2023-05-08,"F_sed_4m_R1_F1_08May23","F_sed_4m_R1_F2_08May23",9,NA,9,0.006,0.006,0.01,5e-04,0.01,7,"FCR",4,50,0.0040715,1.618,0.33,0.012,0.0040715,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0109670641410773,0.186031449166951,0.287927676195238,4.35238753663968,0.227831739357703,1.18881028196746,7.08514134684643,1.33674652054063,0.00901960864159555,0.0106652260293261,0.0543501808782118,20,1.07543695637958e-05,0.000182423566516441,0.00028234362429327,0.00426797759653515,0.000223413184412584,0.00116575456740809,0.0069477325449682,0.00131082173953621,8.84468289824339e-06,1.04583852820907e-05,5.32961167642102e-05,0.000377339680489668,0.00640071460207508,0.0099066200345001,0.14975097266838,0.00783892157725599,0.0409029514362235,0.243775812528489,0.0459929383532292,0.000310334306354043,0.000366954449293545,0.0018700063775797
"2",2023-05-08,"F_sed_4m_R2_F1_08May23","F_sed_4m_R2_F2_08May23",10,NA,10,0.005,0.007,0.01,5e-04,0.01,7,"FCR",4,50,0.0040715,1.715,0.404,0.012,0.0040715,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0153635060442966,0.232016275456812,0.363084236736671,5.65196276981274,0.316488805398143,1.62224099699745,8.13693419195871,1.45240428237532,0.00949881563514255,0.0139902428612532,0.0583228591316984,20,1.30437687455291e-05,0.000196984115053679,0.000308262111882867,0.00479857235159844,0.000268702129335552,0.00137729866824289,0.00690833769267782,0.00123310561597707,8.06458852191558e-06,1.187785470646e-05,4.95166848568627e-05,0.000457668067070019,0.00691160207903999,0.0108160246972112,0.168368005880544,0.00942797948581787,0.0483254212467461,0.242393561259551,0.0432661046640259,0.000282963054048721,0.000416759520235084,0.00173739705818715
