"Reservoir","DateTime","Site","Duration_days","Depth_m","TrapXSA_m2","Filter1ID","Filter2ID","CombinedCollectionVol_L","CombinedFilterVol_L","CombinedSedMass_g","ICPTFe_mgL","ICPTMn_mgL","AcidVol_L","DilutionFactor","TFe_g","TMn_g","TOC_g","TN_g","TOCFlux_gm2d","TNFlux_gm2d"
"BVR",2022-05-02,50,20,8,NA,"B_sed_8m_R1_F3_02May22","B_sed_8m_R2_F3_02May22",3498,160,0.015,NA,NA,NA,NA,NA,NA,0.0475771725,0.041827335,0.292135407712145,0.256830007368292
"BVR",2022-05-02,50,20,4,NA,"B_sed_4m_R1_F3_02May22","B_sed_4m_R2_F3_02May22",3533,279,0.015,NA,NA,NA,NA,NA,NA,0.0339547892473118,0.0256250136200717,0.208490662208718,0.157343814442292
"FCR",2022-05-02,50,20,8,NA,"F_sed_8m_R1_F3_02May22","F_sed_8m_R2_F3_02May22",3472,163,0.007,NA,NA,NA,NA,NA,NA,0.0335442061349693,0.0338850159509202,0.205969582064161,0.208062237203244
"FCR",2022-05-02,50,20,4,NA,"F_sed_4m_R1_F3_02May22","F_sed_4m_R2_F3_02May22",3544,281,0.013,NA,NA,NA,NA,NA,NA,0.0304884896797153,0.0244977423487544,0.187206740020357,0.150422094736304
"FCR",2022-05-02,50,20,4,0.0040715,"F_sed_4m_R1_F1_02May22","F_sed_4m_R1_F2_02May22",3586,280,0.011,3.93376932089503,0.472514668324409,0.01,20,0.0100760691319497,0.00121031257186524,NA,NA,NA,NA
"FCR",2022-05-02,50,20,4,0.0040715,"F_sed_4m_R2_F1_02May22","F_sed_4m_R2_F2_02May22",3502,281,0.012,4.25604217532387,0.507100472325946,0.01,20,0.0106082987174265,0.00126396146198254,NA,NA,NA,NA
"FCR",2022-05-02,50,20,8,0.0040715,"F_sed_8m_R1_F1_02May22","F_sed_8m_R1_F2_02May22",3416,163,0.012,8.27788993564891,1.83120531368756,0.01,20,0.0346960392885603,0.00767533417368919,NA,NA,NA,NA
"FCR",2022-05-02,50,20,8,0.0040715,"F_sed_8m_R2_F1_02May22","F_sed_8m_R2_F2_02May22",3528,160,0.00600000000000001,6.36850251821635,1.29313714329381,0.01,20,0.0280850961053341,0.0057027348019257,NA,NA,NA,NA
"BVR",2022-05-02,50,20,4,0.0040715,"B_sed_4m_R1_F1_02May22","B_sed_4m_R1_F2_02May22",3494,278,0.01,3.80891237171071,0.631820604483908,0.01,20,0.00957434519910591,0.00158818790796171,NA,NA,NA,NA
"BVR",2022-05-02,50,20,4,0.0040715,"B_sed_4m_R2_F1_02May22","B_sed_4m_R2_F2_02May22",3572,282,0.017,3.82056919742801,0.481091572330376,0.01,20,0.00967877530015097,0.00121876531657029,NA,NA,NA,NA
"BVR",2022-05-02,50,20,8,0.0040715,"B_sed_8m_R1_F1_02May22","B_sed_8m_R1_F2_02May22",3534,161,0.00700000000000001,11.1267775157931,0.501409745434109,0.01,20,0.0488472443985254,0.00220121992591819,NA,NA,NA,NA
"BVR",2022-05-02,50,20,8,0.0040715,"B_sed_8m_R2_F1_02May22","B_sed_8m_R2_F2_02May22",3462,163,0.012,10.5678768065627,0.460068942911282,0.01,20,0.0448907846678774,0.00195430512927467,NA,NA,NA,NA
"FCR",2022-05-17,50,15,4,NA,"F_sed_4m_R1_F3_17May22","F_sed_4m_R2_F3_17May22",3561,218,0.011,NA,NA,NA,NA,NA,NA,0.0697694642201835,0.0310395055045872,0.57120196668045,0.25412014822209
"FCR",2022-05-17,50,15,8,NA,"F_sed_8m_R1_F3_17May22","F_sed_8m_R2_F3_17May22",3623,163,0.007,NA,NA,NA,NA,NA,NA,0.034758573006135,0.0495439693251534,0.284568119907773,0.405616024603163
