VC:46e9e7d BD:Jun  9 2016 SN:US4300170200001328
                     Time,      [CH4]_ppm,   [CH4]_ppm_sd,     [CH4L]_ppm,  [CH4L]_ppm_sd,     [CH4H]_ppm,  [CH4H]_ppm_sd,      [H2O]_ppm,   [H2O]_ppm_sd,      [CO2]_ppm,   [CO2]_ppm_sd,     [CH4]d_ppm,  [CH4]d_ppm_sd,     [CO2]d_ppm,  [CO2]d_ppm_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         AmbT_C,      AmbT_C_sd,         RD0_us,      RD0_us_sd,         RD1_us,      RD1_us_sd,       Fit_Flag,      MIU_VALVE,       MIU_DESC
  07/23/2018 10:05:09.579,    1.88635e+00,    2.70255e-03,    1.88635e+00,    2.70255e-03,   -1.00000e-02,    6.33741e-19,    2.75138e+04,    6.05855e+01,    4.24143e+02,    4.08189e-01,    1.93972e+00,    2.72468e-03,    4.36143e+02,    4.03596e-01,    1.40344e+02,    3.13033e-02,    2.30108e+01,    1.21558e-03,    2.46673e+01,    9.80288e-03,    5.81378e+00,    3.15583e-03,    6.83369e+00,    3.83651e-03,              3,              0,       1 meters
  07/23/2018 10:05:19.534,    1.88045e+00,    7.32420e-03,    1.88045e+00,    7.32420e-03,   -1.00000e-02,    1.09731e-18,    2.75546e+04,    6.64238e+01,    4.46082e+02,    1.56993e+01,    1.93373e+00,    7.51818e-03,    4.58722e+02,    1.61460e+01,    1.40326e+02,    3.97508e-02,    2.30158e+01,    1.90169e-03,    2.47097e+01,    1.61630e-02,    5.81346e+00,    2.31894e-03,    6.83290e+00,    2.19895e-03,              3,              0,       1 meters
  07/23/2018 10:05:29.485,    1.85666e+00,    6.19366e-03,    1.85666e+00,    6.19366e-03,   -1.00000e-02,    1.09731e-18,    2.76414e+04,    8.75582e+01,    4.53738e+02,    5.63498e+00,    1.90944e+00,    6.30794e-03,    4.66637e+02,    5.78552e+00,    1.40331e+02,    3.41191e-02,    2.30218e+01,    1.80381e-03,    2.47647e+01,    1.68243e-02,    5.81333e+00,    4.38193e-03,    6.83215e+00,    2.62380e-03,              3,              0,       1 meters
  07/23/2018 10:05:39.439,    1.84483e+00,    3.85540e-03,    1.84483e+00,    3.85540e-03,   -1.00000e-02,    1.09731e-18,    2.76531e+04,    1.09388e+02,    4.33865e+02,    4.52236e+00,    1.89729e+00,    4.03732e-03,    4.46204e+02,    4.64973e+00,    1.40325e+02,    3.37260e-02,    2.30275e+01,    1.67856e-03,    2.48182e+01,    1.55588e-02,    5.81457e+00,    3.55282e-03,    6.83364e+00,    4.73699e-03,              3,              0,       1 meters
  07/23/2018 10:05:49.407,    1.84119e+00,    1.45030e-03,    1.84119e+00,    1.45030e-03,   -1.00000e-02,    1.09731e-18,    2.76466e+04,    1.00854e+02,    4.24655e+02,    1.89153e+00,    1.89354e+00,    1.52558e-03,    4.36729e+02,    1.95494e+00,    1.40322e+02,    4.10473e-02,    2.30333e+01,    1.85526e-03,    2.48708e+01,    1.67408e-02,    5.81377e+00,    2.24288e-03,    6.83532e+00,    3.06379e-03,              3,              0,       1 meters
  07/23/2018 10:05:59.358,    1.84162e+00,    1.69415e-03,    1.84162e+00,    1.69415e-03,   -1.00000e-02,    1.09731e-18,    2.75823e+04,    7.14363e+01,    4.21286e+02,    6.87508e-01,    1.89386e+00,    1.81670e-03,    4.33236e+02,    6.99225e-01,    1.40328e+02,    3.23395e-02,    2.30391e+01,    1.67353e-03,    2.49239e+01,    1.53106e-02,    5.81331e+00,    2.66192e-03,    6.83156e+00,    2.79236e-03,              3,              0,       1 meters
  07/23/2018 10:06:09.315,    1.84590e+00,    2.97259e-03,    1.84590e+00,    2.97259e-03,   -1.00000e-02,    1.09731e-18,    2.76379e+04,    9.26580e+01,    4.20372e+02,    2.88315e-01,    1.89837e+00,    3.19252e-03,    4.32321e+02,    2.84552e-01,    1.40323e+02,    4.00064e-02,    2.30448e+01,    1.75792e-03,    2.49752e+01,    1.51384e-02,    5.81245e+00,    4.15131e-03,    6.83458e+00,    2.31492e-03,              3,              0,       1 meters
  07/23/2018 10:06:19.268,    1.84554e+00,    2.47783e-03,    1.84554e+00,    2.47783e-03,   -1.00000e-02,    1.09731e-18,    2.75958e+04,    7.17362e+01,    4.19895e+02,    4.78886e-01,    1.89791e+00,    2.58465e-03,    4.31811e+02,    5.03412e-01,    1.40321e+02,    4.07934e-02,    2.30507e+01,    1.73216e-03,    2.50257e+01,    1.63302e-02,    5.81449e+00,    2.94437e-03,    6.83628e+00,    3.92562e-03,              3,              0,       1 meters
  07/23/2018 10:06:29.220,    1.84509e+00,    2.03127e-03,    1.84509e+00,    2.03127e-03,   -1.00000e-02,    1.09731e-18,    2.75544e+04,    8.62939e+01,    4.19765e+02,    4.43642e-01,    1.89737e+00,    2.12472e-03,    4.31659e+02,    4.38208e-01,    1.40319e+02,    3.58137e-02,    2.30565e+01,    1.68290e-03,    2.50758e+01,    1.21338e-02,    5.81389e+00,    2.66370e-03,    6.83281e+00,    4.63783e-03,              3,              0,       1 meters
  07/23/2018 10:06:39.174,    1.84525e+00,    1.53344e-03,    1.84525e+00,    1.53344e-03,   -1.00000e-02,    1.09731e-18,    2.75264e+04,    8.23122e+01,    4.19805e+02,    4.20712e-01,    1.89748e+00,    1.53506e-03,    4.31688e+02,    4.28240e-01,    1.40318e+02,    3.71567e-02,    2.30624e+01,    1.73518e-03,    2.51233e+01,    1.55438e-02,    5.81113e+00,    4.26409e-03,    6.83390e+00,    2.78215e-03,              3,              0,       1 meters
