VC:46e9e7d BD:Jun  9 2016 SN:US4300170200001328
                     Time,      [CH4]_ppm,   [CH4]_ppm_sd,     [CH4L]_ppm,  [CH4L]_ppm_sd,     [CH4H]_ppm,  [CH4H]_ppm_sd,      [H2O]_ppm,   [H2O]_ppm_sd,      [CO2]_ppm,   [CO2]_ppm_sd,     [CH4]d_ppm,  [CH4]d_ppm_sd,     [CO2]d_ppm,  [CO2]d_ppm_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         AmbT_C,      AmbT_C_sd,         RD0_us,      RD0_us_sd,         RD1_us,      RD1_us_sd,       Fit_Flag,      MIU_VALVE,       MIU_DESC
  08/07/2018 11:22:25.171,    2.01183e+00,    7.95930e-03,    2.01183e+00,    7.95930e-03,   -1.00000e-02,    6.33741e-19,    2.80771e+04,    6.50663e+01,    5.31783e+02,    1.10557e+00,    2.06995e+00,    8.26016e-03,    5.47145e+02,    1.15799e+00,    1.40202e+02,    2.44387e-02,    3.14752e+01,    5.67424e-04,    3.52147e+01,    1.47839e-03,    5.88379e+00,    2.77784e-03,    6.89561e+00,    3.34369e-03,              3,              0,       1 meters
  08/07/2018 11:22:35.123,    1.97828e+00,    9.47249e-03,    1.97828e+00,    9.47249e-03,   -1.00000e-02,    1.09731e-18,    2.81113e+04,    8.67572e+01,    5.26519e+02,    2.20503e+00,    2.03550e+00,    9.60424e-03,    5.41748e+02,    2.23452e+00,    1.40220e+02,    3.06846e-02,    3.14772e+01,    7.36257e-04,    3.52085e+01,    2.03429e-03,    5.88911e+00,    3.92793e-03,    6.89733e+00,    2.95220e-03,              3,              0,       1 meters
  08/07/2018 11:22:45.077,    1.95359e+00,    9.39606e-03,    1.95359e+00,    9.39606e-03,   -1.00000e-02,    1.09731e-18,    2.81360e+04,    7.55578e+01,    5.18576e+02,    2.96131e+00,    2.01015e+00,    9.64018e-03,    5.33589e+02,    3.04160e+00,    1.40209e+02,    2.81105e-02,    3.14796e+01,    6.25411e-04,    3.52054e+01,    1.52545e-03,    5.89200e+00,    5.80970e-03,    6.89440e+00,    1.85094e-03,              3,              0,       1 meters
  08/07/2018 11:22:55.030,    1.92014e+00,    1.37513e-02,    1.92014e+00,    1.37513e-02,   -1.00000e-02,    1.09731e-18,    2.82371e+04,    7.88929e+01,    5.10413e+02,    1.82656e+00,    1.97594e+00,    1.41170e-02,    5.25245e+02,    1.87304e+00,    1.40207e+02,    2.32644e-02,    3.14815e+01,    6.28042e-04,    3.51929e+01,    3.28793e-03,    5.89967e+00,    5.83695e-03,    6.89528e+00,    2.72821e-03,              3,              0,       1 meters
  08/07/2018 11:23:04.984,    1.88085e+00,    1.01621e-02,    1.88085e+00,    1.01621e-02,   -1.00000e-02,    1.09731e-18,    2.82828e+04,    1.16159e+02,    5.04831e+02,    7.76988e-01,    1.93560e+00,    1.03239e-02,    5.19525e+02,    7.75577e-01,    1.40219e+02,    2.67756e-02,    3.14832e+01,    6.05433e-04,    3.51885e+01,    4.06644e-03,    5.90529e+00,    4.29635e-03,    6.89562e+00,    2.77552e-03,              3,              0,       1 meters
  08/07/2018 11:23:14.937,    1.85855e+00,    5.13678e-03,    1.85855e+00,    5.13678e-03,   -1.00000e-02,    1.09731e-18,    2.83962e+04,    6.76722e+01,    5.05287e+02,    8.07481e-01,    1.91287e+00,    5.27295e-03,    5.20055e+02,    8.31513e-01,    1.40211e+02,    2.66385e-02,    3.14850e+01,    5.67712e-04,    3.51772e+01,    2.94762e-03,    5.90751e+00,    1.79808e-03,    6.89414e+00,    3.37097e-03,              3,              0,       1 meters
  08/07/2018 11:23:24.892,    1.85021e+00,    2.18160e-03,    1.85021e+00,    2.18160e-03,   -1.00000e-02,    1.09731e-18,    2.83732e+04,    7.61798e+01,    5.10332e+02,    1.98586e+00,    1.90424e+00,    2.31869e-03,    5.25234e+02,    2.06467e+00,    1.40217e+02,    2.32575e-02,    3.14867e+01,    5.41475e-04,    3.51716e+01,    2.02192e-03,    5.91045e+00,    2.68983e-03,    6.89686e+00,    3.86012e-03,              3,              0,       1 meters
  08/07/2018 11:23:34.844,    1.85281e+00,    3.28931e-03,    1.85281e+00,    3.28931e-03,   -1.00000e-02,    1.09731e-18,    2.83210e+04,    1.10231e+02,    5.18203e+02,    2.45661e+00,    1.90681e+00,    3.42563e-03,    5.33307e+02,    2.54839e+00,    1.40221e+02,    2.87621e-02,    3.14883e+01,    3.83723e-04,    3.51650e+01,    1.13860e-03,    5.91172e+00,    4.99139e-03,    6.89422e+00,    2.37079e-03,              3,              0,       1 meters
  08/07/2018 11:23:44.798,    1.83900e+00,    4.45838e-03,    1.83900e+00,    4.45838e-03,   -1.00000e-02,    1.09731e-18,    2.83102e+04,    8.07434e+01,    5.23746e+02,    1.49230e+00,    1.89258e+00,    4.63274e-03,    5.39005e+02,    1.52806e+00,    1.40209e+02,    2.46618e-02,    3.14896e+01,    4.04319e-04,    3.51617e+01,    2.43666e-03,    5.91862e+00,    4.92132e-03,    6.89479e+00,    2.85484e-03,              3,              0,       1 meters
  08/07/2018 11:23:54.751,    1.82739e+00,    4.79914e-03,    1.82739e+00,    4.79914e-03,   -1.00000e-02,    1.09731e-18,    2.82616e+04,    1.28493e+02,    5.27580e+02,    1.14748e+00,    1.88054e+00,    4.99998e-03,    5.42924e+02,    1.13401e+00,    1.40219e+02,    2.71877e-02,    3.14909e+01,    4.33727e-04,    3.51521e+01,    2.04103e-03,    5.91676e+00,    4.39918e-03,    6.89600e+00,    4.71890e-03,              3,              0,       1 meters
