VC:46e9e7d BD:Jun  9 2016 SN:US4300170200001328
                     Time,      [CH4]_ppm,   [CH4]_ppm_sd,     [CH4L]_ppm,  [CH4L]_ppm_sd,     [CH4H]_ppm,  [CH4H]_ppm_sd,      [H2O]_ppm,   [H2O]_ppm_sd,      [CO2]_ppm,   [CO2]_ppm_sd,     [CH4]d_ppm,  [CH4]d_ppm_sd,     [CO2]d_ppm,  [CO2]d_ppm_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         AmbT_C,      AmbT_C_sd,         RD0_us,      RD0_us_sd,         RD1_us,      RD1_us_sd,       Fit_Flag,      MIU_VALVE,       MIU_DESC
  10/22/2018 10:08:21.398,    1.90017e+00,    4.06377e-04,    1.90017e+00,    4.06377e-04,   -1.00000e-02,    6.33741e-19,    7.14360e+03,    8.20670e+01,    4.11983e+02,    4.90013e-01,    1.91384e+00,    4.27005e-04,    4.14947e+02,    5.18821e-01,    1.40399e+02,    2.35903e-02,    1.87783e+01,    3.15011e-03,    1.73850e+01,    2.91928e-03,    1.08443e+01,    1.77636e-03,    1.18774e+01,    3.52442e-03,              3,              0,       1 meters
  10/22/2018 10:08:31.352,    1.90002e+00,    6.79824e-04,    1.90002e+00,    6.79824e-04,   -1.00000e-02,    1.09731e-18,    7.51553e+03,    1.67889e+02,    4.14156e+02,    4.85943e-01,    1.91441e+00,    7.98357e-04,    4.17292e+02,    5.30409e-01,    1.40379e+02,    3.75500e-02,    1.87647e+01,    5.21605e-03,    1.74013e+01,    6.73749e-03,    1.08426e+01,    2.92592e-03,    1.18766e+01,    3.85021e-03,              3,              0,       1 meters
  10/22/2018 10:08:41.308,    1.90044e+00,    6.55479e-04,    1.90044e+00,    6.55479e-04,   -1.00000e-02,    1.09731e-18,    7.78333e+03,    5.57837e+01,    4.12963e+02,    5.36394e-01,    1.91535e+00,    6.92101e-04,    4.16203e+02,    5.52374e-01,    1.40392e+02,    2.47732e-02,    1.87472e+01,    5.32749e-03,    1.74179e+01,    4.45492e-03,    1.08439e+01,    2.42103e-03,    1.18783e+01,    1.73830e-03,              3,              0,       1 meters
  10/22/2018 10:08:51.259,    1.90007e+00,    5.85392e-04,    1.90007e+00,    5.85392e-04,   -1.00000e-02,    1.09731e-18,    7.30341e+03,    1.80277e+02,    4.10207e+02,    9.93962e-01,    1.91405e+00,    7.28500e-04,    4.13226e+02,    1.07207e+00,    1.40389e+02,    3.01577e-02,    1.87291e+01,    5.58503e-03,    1.74290e+01,    2.51650e-03,    1.08442e+01,    2.45503e-03,    1.18778e+01,    2.31425e-03,              3,              0,       1 meters
  10/22/2018 10:09:01.213,    1.89833e+00,    7.08805e-04,    1.89833e+00,    7.08805e-04,   -1.00000e-02,    1.09731e-18,    6.92707e+03,    4.29372e+01,    4.08128e+02,    3.50027e-01,    1.91157e+00,    7.73125e-04,    4.10975e+02,    3.61612e-01,    1.40385e+02,    3.23465e-02,    1.87107e+01,    5.56454e-03,    1.74358e+01,    1.98951e-03,    1.08462e+01,    1.29823e-03,    1.18768e+01,    2.07363e-03,              3,              0,       1 meters
  10/22/2018 10:09:11.169,    1.89709e+00,    7.96358e-04,    1.89709e+00,    7.96358e-04,   -1.00000e-02,    1.09731e-18,    7.02314e+03,    1.01017e+02,    4.07584e+02,    1.44095e-01,    1.91051e+00,    7.62683e-04,    4.10467e+02,    1.53722e-01,    1.40389e+02,    3.55983e-02,    1.86926e+01,    5.45406e-03,    1.74423e+01,    4.89713e-03,    1.08459e+01,    1.26515e-03,    1.18786e+01,    1.99474e-03,              3,              0,       1 meters
  10/22/2018 10:09:21.120,    1.89690e+00,    5.75178e-04,    1.89690e+00,    5.75178e-04,   -1.00000e-02,    1.09731e-18,    7.07925e+03,    5.61609e+01,    4.08186e+02,    2.17738e-01,    1.91043e+00,    6.16331e-04,    4.11096e+02,    2.24548e-01,    1.40386e+02,    2.79923e-02,    1.86744e+01,    5.56994e-03,    1.74491e+01,    1.83136e-03,    1.08440e+01,    2.53492e-03,    1.18788e+01,    3.55541e-03,              3,              0,       1 meters
  10/22/2018 10:09:31.074,    1.89701e+00,    1.21407e-03,    1.89701e+00,    1.21407e-03,   -1.00000e-02,    1.09731e-18,    6.98138e+03,    7.66041e+01,    4.08500e+02,    1.17683e-01,    1.91035e+00,    1.10334e-03,    4.11372e+02,    1.09750e-01,    1.40389e+02,    3.27069e-02,    1.86560e+01,    5.61443e-03,    1.74584e+01,    4.87012e-03,    1.08439e+01,    2.07782e-03,    1.18798e+01,    3.27426e-03,              3,              0,       1 meters
  10/22/2018 10:09:41.028,    1.89792e+00,    5.35718e-04,    1.89792e+00,    5.35718e-04,   -1.00000e-02,    1.09731e-18,    7.05037e+03,    6.35564e+01,    4.08423e+02,    8.27603e-02,    1.91140e+00,    5.93401e-04,    4.11323e+02,    1.00594e-01,    1.40383e+02,    3.09013e-02,    1.86377e+01,    5.57320e-03,    1.74742e+01,    4.42802e-03,    1.08436e+01,    2.59753e-03,    1.18796e+01,    2.00624e-03,              3,              0,       1 meters
  10/22/2018 10:09:50.981,    1.89739e+00,    8.25017e-04,    1.89739e+00,    8.25017e-04,   -1.00000e-02,    1.09731e-18,    7.53122e+03,    1.54277e+02,    4.08025e+02,    2.31030e-01,    1.91179e+00,    9.09185e-04,    4.11121e+02,    1.76848e-01,    1.40386e+02,    2.86966e-02,    1.86192e+01,    5.51424e-03,    1.74896e+01,    5.03302e-03,    1.08441e+01,    2.20192e-03,    1.18805e+01,    1.93262e-03,              3,              0,       1 meters
