Rep,Date,Start_time,End_time,co2_slope_ppmS,co2_R2,Temp_C,co2_flux_umolCm2s,Reservoir.x,Site.x,ch4_slope_ppmS,ch4_R2,ch4_flux_umolCm2s,Reservoir.y,Site.y,co2_flux_umolCm2s_flag,ch4_flux_umolCm2s_flag
1,2018-05-28T05:00:00Z,11:20:03,11:24:02,0.065,0.96,31.85,0.373,FCR,10,0.003,0.92,0.017,FCR,10,0,0
2,2018-05-28T05:00:00Z,11:31:10,11:35:09,0.062,0.99,33.2,0.355,FCR,10,0.003,1,0.017,FCR,10,0,0
3,2018-05-28T05:00:00Z,11:45:36,11:49:35,0.071,0.95,33.46,0.406,FCR,20,0.003,0.95,0.017,FCR,20,0,0
4,2018-05-28T05:00:00Z,12:00:52,12:04:51,0.032,0.98,33.51,0.183,FCR,20,0.002,0.99,0.011,FCR,20,0,0
5,2018-05-28T05:00:00Z,12:11:39,12:15:38,0.024,0.97,33.75,0.137,FCR,30,0.001,0.98,0.006,FCR,30,0,0
6,2018-05-28T05:00:00Z,12:18:07,12:22:06,0.033,0.99,34.16,0.188,FCR,30,0.002,0.99,0.011,FCR,30,0,0
7,2018-05-28T05:00:00Z,12:34:12,12:38:11,0.017,0.96,34.48,0.097,FCR,45,0.001,0.97,0.006,FCR,45,0,0
8,2018-05-28T05:00:00Z,12:42:40,12:46:39,0.031,0.9,34.65,0.176,FCR,45,0.003,0.92,0.017,FCR,45,0,0
9,2018-05-28T05:00:00Z,13:01:15,13:05:14,0.027,0.99,34.02,0.154,FCR,50,0.002,0.99,0.011,FCR,50,0,0
10,2018-05-28T05:00:00Z,13:08:53,13:12:52,0.029,0.86,33.77,0.166,FCR,50,0.002,0.88,0.011,FCR,50,0,0
1,2018-05-24T05:00:00Z,12:00:26,12:04:25,0.006,0.93,33.49,0.034,BVR,50,0.001,0.99,0.006,BVR,50,0,0
2,2018-05-24T05:00:00Z,12:07:04,12:11:03,0.004,0.81,33.99,0.023,BVR,50,0.001,0.93,0.006,BVR,50,0,0
1,2018-05-21T05:00:00Z,12:17:22,12:21:20,0.097,0.94,35.72,0.55,FCR,10,0.005,0.79,0.028,FCR,10,0,0
2,2018-05-21T05:00:00Z,12:26:59,12:30:58,0.136,0.97,35.97,0.771,FCR,10,0.003,0.98,0.017,FCR,10,0,0
3,2018-05-21T05:00:00Z,12:48:13,12:52:12,0.13,0.99,36.8,0.735,FCR,20,0.003,0.98,0.017,FCR,20,0,0
4,2018-05-21T05:00:00Z,13:01:09,13:05:08,0.084,0.98,37.25,0.474,FCR,20,0.002,0.98,0.011,FCR,20,0,0
5,2018-05-21T05:00:00Z,13:25:43,13:29:42,0.069,0.82,37.98,0.389,FCR,30,0.002,0.84,0.011,FCR,30,0,0
6,2018-05-21T05:00:00Z,13:34:10,13:38:09,0.101,0.97,37.86,0.569,FCR,30,0.002,0.97,0.011,FCR,30,0,0
7,2018-05-21T05:00:00Z,13:54:15,13:58:14,0.172,0.99,37.92,0.969,FCR,45,0.004,0.99,0.023,FCR,45,0,0
8,2018-05-21T05:00:00Z,14:04:12,14:08:11,0.134,1,38.23,0.754,FCR,45,0.003,1,0.017,FCR,45,0,0
9,2018-05-21T05:00:00Z,14:23:07,14:27:06,0.18,0.96,38.45,1.012,FCR,50,0.005,0.96,0.028,FCR,50,0,0
10,2018-05-21T05:00:00Z,14:30:45,14:34:44,0.176,0.98,38.4,0.99,FCR,50,0.004,0.98,0.023,FCR,50,0,0
1,2018-05-14T05:00:00Z,11:41:12,11:45:11,0.033,0.96,36.83,0.187,FCR,10,0.004,0.94,0.023,FCR,10,0,0
2,2018-05-14T05:00:00Z,11:58:47,12:02:46,0.035,0.94,38.2,0.197,FCR,10,0.003,0.93,0.017,FCR,10,0,0
3,2018-05-14T05:00:00Z,12:11:23,12:15:22,0.038,0.95,39.25,0.213,FCR,20,0.003,0.95,0.017,FCR,20,0,0
4,2018-05-14T05:00:00Z,12:23:40,12:27:39,0.043,0.97,39.96,0.241,FCR,20,0.004,0.95,0.022,FCR,20,0,0
5,2018-05-14T05:00:00Z,12:40:26,12:44:24,0.07,0.97,39.16,0.393,FCR,30,0.005,0.98,0.028,FCR,30,0,0
6,2018-05-14T05:00:00Z,12:52:02,12:56:01,0.043,0.96,38.38,0.242,FCR,30,0.003,0.95,0.017,FCR,30,0,0
7,2018-05-14T05:00:00Z,13:00:20,13:04:19,0.048,0.97,38.81,0.27,FCR,45,0.003,0.97,0.017,FCR,45,0,0
8,2018-05-14T05:00:00Z,13:15:06,13:19:05,0.083,0.99,39.95,0.465,FCR,45,0.004,0.99,0.022,FCR,45,0,0
9,2018-05-14T05:00:00Z,13:24:04,13:28:03,0.035,0.97,40.31,0.196,FCR,50,0.002,0.97,0.011,FCR,50,0,0
10,2018-05-14T05:00:00Z,13:30:32,13:34:31,0.048,0.98,40.57,0.268,FCR,50,0.002,0.98,0.011,FCR,50,0,0
1,2018-05-07T05:00:00Z,10:15:42,10:19:41,1.02,0.97,25.61,5.983,FCR,10,0.033,0.97,0.194,FCR,10,0,0
2,2018-05-07T05:00:00Z,10:22:30,10:26:29,0.892,0.98,26.3,5.22,FCR,10,0.027,0.98,0.158,FCR,10,0,0
3,2018-05-07T05:00:00Z,10:52:52,10:56:51,0.786,0.99,28.97,4.559,FCR,20,0.027,0.99,0.157,FCR,20,0,0
4,2018-05-07T05:00:00Z,11:04:09,11:08:07,1.014,0.95,29.84,5.865,FCR,30,0.034,0.95,0.197,FCR,30,0,0
5,2018-05-07T05:00:00Z,11:09:57,11:13:56,1.528,0.99,30.04,8.832,FCR,30,0.05,0.99,0.289,FCR,30,0,0
6,2018-05-07T05:00:00Z,11:30:31,11:34:30,1.044,0.95,29.91,6.037,FCR,45,0.03,0.95,0.173,FCR,45,0,0
7,2018-05-07T05:00:00Z,11:36:40,11:40:38,0.855,0.98,30.28,4.938,FCR,45,0.025,0.98,0.144,FCR,45,0,0
8,2018-05-07T05:00:00Z,11:57:24,12:01:23,0.935,0.99,30.76,5.392,FCR,50,0.029,0.99,0.167,FCR,50,0,0
9,2018-05-07T05:00:00Z,12:02:42,12:06:41,0.786,0.99,30.66,4.534,FCR,50,0.025,0.99,0.144,FCR,50,0,0
1,2018-07-02T05:00:00Z,14:18:52,14:22:51,-0.005,0.57,38.07,-0.028,FCR,10,0.032,0.18,0.18,FCR,10,0,0
2,2018-07-02T05:00:00Z,14:27:35,14:31:34,-0.008,0.74,38.65,-0.045,FCR,10,0.009,0.62,0.051,FCR,10,0,0
3,2018-07-02T05:00:00Z,14:35:43,14:39:42,-0.004,0.25,38.94,-0.022,FCR,20,0.06,0.44,0.337,FCR,20,0,0
1,2018-07-05T05:00:00Z,12:29:54,12:34:53,-0.012,0.71,34.11,-0.068,FCR,30,0.004,0.96,0.023,FCR,30,0,0
2,2018-07-05T05:00:00Z,12:41:01,12:46:00,-0.022,0.95,36.83,-0.124,FCR,30,0.005,0.95,0.028,FCR,30,0,0
3,2018-07-05T05:00:00Z,12:47:39,12:52:38,-0.014,0.83,37.92,-0.079,FCR,45,0.004,0.98,0.023,FCR,45,0,0
4,2018-07-05T05:00:00Z,12:57:47,13:02:45,-0.013,0.69,39.41,-0.073,FCR,45,0.002,0.98,0.011,FCR,45,0,0
5,2018-07-05T05:00:00Z,13:04:25,13:09:24,-0.02,0.49,39.7,-0.112,FCR,50,0.004,0.94,0.022,FCR,50,0,0
