Reservoir,Site,Date,Rep,Start_time,End_time,Temp_C,co2_slope_ppmS,co2_R2,co2_flux_umolCm2s,ch4_slope_ppmS,ch4_R2,ch4_flux_umolCm2s,co2_flux_umolCm2s_flag,ch4_flux_umolCm2s_flag
FCR,50,2019-04-30T05:00:00Z,1,10:39:59,10:43:58,27.45,0.018,0.61,0.105,0.003,0.02,0.017,0,0
FCR,50,2019-04-30T05:00:00Z,2,10:55:42,10:59:41,29.27,0.053,0.97,0.307,0.015,0.96,0.087,0,0
FCR,50,2019-05-20T05:00:00Z,1,11:13:11,11:17:10,27.92,-0.067,0.02,-0.39,0.003,0.94,0.017,0,0
FCR,50,2019-05-20T05:00:00Z,2,11:18:30,11:22:29,29.31,0.045,0.98,0.261,0.003,0.99,0.017,0,0
FCR,50,2019-06-06T05:00:00Z,1,10:30:02,10:34:01,27.64,-0.03,0.98,-0.175,0.002,0.98,0.012,0,0
FCR,50,2019-06-06T05:00:00Z,2,10:38:20,10:42:19,28.93,-0.03,0.98,-0.174,0.001,0.99,0.006,0,0
FCR,50,2019-06-07T05:00:00Z,1,16:49:55,16:50:49,23.55,-0.789,0.01,-4.66,-0,0.03,-0,0,0
FCR,50,2019-06-07T05:00:00Z,2,16:51:20,16:52:08,23.97,0.011,0.06,0.065,-0,0.01,-0,0,0
FCR,50,2019-06-17T05:00:00Z,1,11:24:47,11:28:46,32.07,-0.04,1,-0.23,0.002,1,0.011,0,0
FCR,50,2019-06-17T05:00:00Z,2,11:31:10,11:35:09,33.12,-0.045,0.99,-0.257,0.002,0.99,0.011,0,0
FCR,50,2019-06-24T05:00:00Z,1,10:48:58,10:52:57,31.98,-0.043,0.98,-0.247,0.002,0.97,0.011,0,0
FCR,50,2019-06-24T05:00:00Z,2,10:54:17,10:58:16,32.59,-0.039,0.99,-0.224,0.002,0.99,0.011,0,0
FCR,50,2019-07-01T05:00:00Z,1,12:28:46,12:32:45,32.79,-0.039,0.99,-0.223,0.003,0.99,0.017,0,0
FCR,50,2019-07-01T05:00:00Z,2,12:34:35,12:38:34,34.15,-0.055,0.98,-0.314,0.005,0.97,0.029,0,0
FCR,50,2019-07-08T05:00:00Z,1,13:25:21,13:29:20,33.18,-0.031,0.99,-0.177,0.004,0.98,0.023,0,0
FCR,50,2019-07-08T05:00:00Z,2,13:31:44,13:35:43,34.73,-0.05,0.98,-0.285,0.007,0.97,0.04,0,0
FCR,50,2019-07-15T05:00:00Z,1,10:53:08,10:57:07,28.84,-0.019,0.95,-0.11,0.002,0.9,0.012,0,0
FCR,50,2019-07-15T05:00:00Z,2,11:01:45,11:05:44,31.18,-0.015,0.84,-0.086,0.002,0.94,0.012,0,0
FCR,50,2019-07-29T05:00:00Z,1,10:32:55,10:36:53,27.26,-0.051,0.98,-0.298,0.004,0.98,0.023,0,0
FCR,50,2019-07-29T05:00:00Z,2,10:39:38,10:43:37,29.55,-0.03,0.93,-0.174,0.001,0.95,0.006,0,0
FCR,50,2019-08-05T05:00:00Z,1,11:33:50,11:37:49,29.71,-0.022,0.99,-0.127,0.001,0.99,0.006,0,0
FCR,50,2019-08-05T05:00:00Z,2,11:43:27,11:47:26,31.14,-0.023,0.99,-0.132,0.002,0.98,0.012,0,0
FCR,50,2019-08-09T05:00:00Z,1,09:53:37,09:57:36,25.61,1.165,0.06,6.834,-0,0.63,-0,0,0
FCR,50,2019-08-09T05:00:00Z,2,10:01:45,10:05:44,26.72,-0.22,0.43,-1.286,-0,0.4,-0,0,0
FCR,50,2019-08-28T05:00:00Z,1,15:47:48,15:51:47,34.26,-0.055,1,-0.314,0.002,1,0.011,0,0
FCR,50,2019-08-28T05:00:00Z,2,16:00:04,16:04:03,35.43,-0.039,0.99,-0.221,0.001,0.98,0.006,0,0
FCR,50,2019-09-02T05:00:00Z,1,10:49:01,10:53:00,28.6,-0.003,0.76,-0.017,0.001,0.97,0.006,0,0
FCR,50,2019-09-02T05:00:00Z,2,10:55:00,10:58:59,29.95,-0.004,0.94,-0.023,0.001,0.99,0.006,0,0
FCR,50,2019-09-20T05:00:00Z,1,13:28:34,13:32:32,25.92,0.175,0.98,1.025,0.014,0.91,0.082,0,0
FCR,50,2019-09-20T05:00:00Z,2,13:38:11,13:42:10,27.04,0.133,0.99,0.776,0.007,0.99,0.041,0,0
FCR,50,2019-10-11T05:00:00Z,1,14:11:52,14:15:51,30.07,0.076,0.96,0.439,0,0.97,0,0,0
FCR,50,2019-10-11T05:00:00Z,2,14:16:56,14:20:55,30.46,0.105,0.99,0.606,0,0.99,0,0,0
FCR,50,2019-10-16T05:00:00Z,1,10:28:12,10:32:11,16.06,0.167,0.5,1.012,0.055,0.45,0.333,0,0
FCR,50,2019-10-16T05:00:00Z,2,10:30:43,10:34:42,16.37,-0.2,0.32,-1.211,-0.058,0.69,-0.351,0,0
