Reservoir,Site,Date,Rep,Start_time,End_time,Temp_C,co2_slope_ppmS,co2_R2,co2_flux_umolCm2s,ch4_slope_ppmS,ch4_R2,ch4_flux_umolCm2s,co2_flux_umolCm2s_flag,ch4_flux_umolCm2s_flag
FCR,50,2020-07-06T05:00:00Z,1,13:25:53,13:29:52,33.77,0.048,0.97,0.274,0.007,0.96,0.04,0,0
FCR,50,2020-07-06T05:00:00Z,2,13:41:02,13:45:01,37.1,0.073,0.99,0.412,0.008,0.98,0.045,0,0
FCR,50,2020-07-13T05:00:00Z,1,13:04:39,13:08:38,34.65,0.025,0.98,0.142,0.003,1,0.017,0,0
FCR,50,2020-07-20T05:00:00Z,1,11:02:31,11:06:30,37.14,-0.04,0.98,-0.226,0.004,0.99,0.023,0,0
FCR,50,2020-07-20T05:00:00Z,2,11:08:00,11:11:59,37.93,-0.061,0.98,-0.344,0.006,0.97,0.034,0,0
FCR,50,2020-07-27T05:00:00Z,1,09:58:55,10:02:54,30.58,-0.075,0.95,-0.433,0.011,0.95,0.063,0,0
FCR,50,2020-07-27T05:00:00Z,2,10:07:09,10:11:08,32.51,-0.078,0.99,-0.447,0.003,0.98,0.017,0,0
FCR,50,2020-08-10T05:00:00Z,1,13:26:49,13:30:48,38.33,-0.058,0.98,-0.326,0.004,0.96,0.023,0,0
FCR,50,2020-08-24T05:00:00Z,1,12:42:20,12:46:19,31.42,-0.026,0.97,-0.15,0.002,0.98,0.012,0,0
FCR,50,2020-08-24T05:00:00Z,2,12:54:22,12:58:21,33.02,-0.048,0.99,-0.275,0.004,1,0.023,0,0
FCR,50,2020-09-02T05:00:00Z,1,12:43:18,12:47:17,36.07,-0.012,0.92,-0.068,0.003,0.98,0.017,0,0
FCR,50,2020-09-02T05:00:00Z,2,12:55:21,12:59:20,36.91,-0.01,0.91,-0.057,0.002,0.98,0.011,0,0
FCR,50,2020-09-11T05:00:00Z,1,08:13:34,08:17:33,25.7,-0.05,0.99,-0.293,0.001,0.99,0.006,0,0
FCR,50,2020-09-11T05:00:00Z,2,08:22:24,08:26:23,27.11,-0.055,0.99,-0.321,0.001,0.96,0.006,0,0
FCR,50,2020-10-30T05:00:00Z,1,11:39:48,11:43:46,20.28,0.022,0.92,0.131,0.001,0.93,0.006,0,0
FCR,50,2020-10-30T05:00:00Z,2,11:51:46,11:55:45,20.55,0.045,0.98,0.269,-0.002,0.01,-0.012,0,0
