
Advanced Calibration Data
,,Cal Date,coef 1, coef 2, coef 3, coef 4, coef 5, coef 6, coef 7, coef 8, coef 9
,Temperature(degC),unknown,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.00
,Pressure(psi),unknown,0.000000,-0.000189,0.995379,-0.000032,0.003576,0.347366,0.000000,1.000000,0.000000
,Power(V),unknown,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,DO(ppm),19-Feb-18 12:38,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,DO Temp(degC),unknown,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00

Field Calibration Data
,,Cal Date,coef 1, coef 2, coef 3, coef 4, coef 5, coef 6, coef 7
,Temperature(degC),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,Pressure(psi),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,Power(V),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,DO(ppm),19-Feb-18 12:38,1.000000,0.130000,0.000000,0.000000,0.000000,1.000000,0.000000
,DO Temp(degC),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000

Sensor/Session information
SensorSN, 21230019 ,,Modbus Addr., 1 
Sensor Type,DO2,,Initialized w/fw Rev,"2. 130"
Sensor Name,FCR DO (1),,Uploaded,"Aqua4Plus 1.9.6"
Session Name,FCR_8m_DO_20220126,,Exported,"Aqua4Plus 1.9.6"
# Records,  1354 
Statistical Data,,Temperature(degC),Pressure(psi),Power(V),DO(ppm),DO Temp(degC),
,Sensor Range,Custom,Custom,Custom,Custom,Custom,
,Minimum,4.437500,26.350895,12.102047,2.220000,4.250000,
,Maximum,5.500000,26.743917,14.099183,6.469999,4.840000,
,Mean,5.150619,26.546559,12.630490,3.673973,4.552740,
,Variance,0.0216474,0.0073695,0.2625640,0.7208258,0.0113627,
,Std Deviation,0.1471305,0.0858457,0.5124100,0.8490146,0.1065961,
,,,,,,,
,,,,,,,
Rec #,Date/Time,Temperature(degC),Pressure(psi),Power(V),DO(ppm),DO Temp(degC)
1,26-Jan-22 10:35:04,4.437500,26.632786,12.489551,4.980000,4.400000
2,26-Jan-22 10:50:04,4.812500,26.623537,12.519360,4.949999,4.400000
3,26-Jan-22 11:05:04,4.937500,26.621683,12.549167,4.940000,4.400000
4,26-Jan-22 11:20:04,4.937500,26.620731,12.787631,4.909999,4.420000
5,26-Jan-22 11:35:04,4.937500,26.616617,13.890528,4.809999,4.400000
6,26-Jan-22 11:50:04,5.000000,26.609171,13.979951,4.889999,4.410000
7,26-Jan-22 12:05:04,5.000000,26.587002,14.009759,4.730000,4.390000
8,26-Jan-22 12:20:04,5.000000,26.598984,14.009759,4.799999,4.360000
9,26-Jan-22 12:35:04,5.000000,26.608168,14.039567,4.819999,4.420000
10,26-Jan-22 12:50:04,5.000000,26.577868,14.039567,4.670000,4.440000
11,26-Jan-22 13:05:04,5.000000,26.579718,14.039567,4.559999,4.430000
12,26-Jan-22 13:20:04,5.000000,26.590536,14.009759,4.400000,4.440000
13,26-Jan-22 13:35:04,5.000000,26.594814,14.039567,4.359999,4.460000
14,26-Jan-22 13:50:04,5.000000,26.594339,13.979951,4.750000,4.440000
15,26-Jan-22 14:05:04,5.000000,26.557442,13.979951,4.239999,4.390000
16,26-Jan-22 14:20:04,5.000000,26.572857,13.979951,4.559999,4.420000
17,26-Jan-22 14:35:04,5.000000,26.580774,14.009759,4.630000,4.340000
18,26-Jan-22 14:50:04,5.000000,26.583675,14.009759,4.949999,4.390000
19,26-Jan-22 15:05:04,5.000000,26.588108,14.009759,4.819999,4.330000
20,26-Jan-22 15:20:04,5.000000,26.589272,13.979951,5.689999,4.320000
21,26-Jan-22 15:35:04,5.000000,26.567049,13.979951,5.159999,4.370000
22,26-Jan-22 15:50:04,5.000000,26.586000,14.009759,5.579999,4.340000
23,26-Jan-22 16:05:04,5.000000,26.589907,12.996287,5.649999,4.290000
24,26-Jan-22 16:20:04,5.000000,26.586103,13.175136,5.710000,4.300000
25,26-Jan-22 16:35:04,4.937500,26.589167,12.847247,5.889999,4.290000
26,26-Jan-22 16:50:04,4.875000,26.597511,12.757823,5.619999,4.320000
