
Advanced Calibration Data
,,Cal Date,coef 1, coef 2, coef 3, coef 4, coef 5, coef 6, coef 7, coef 8, coef 9
,Temperature(degC),unknown,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.00
,Pressure(psi),unknown,0.000001,-0.000219,1.003133,-0.000022,0.001997,0.421111,0.000000,1.000000,0.000000
,Power(V),unknown,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,DO(ppm),19-Feb-18 12:42,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,DO Temp(degC),unknown,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00

Field Calibration Data
,,Cal Date,coef 1, coef 2, coef 3, coef 4, coef 5, coef 6, coef 7
,Temperature(degC),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,Pressure(psi),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,Power(V),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,DO(ppm),19-Feb-18 12:42,1.000000,0.560000,0.000000,0.000000,0.000000,1.000000,0.000000
,DO Temp(degC),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000

Sensor/Session information
SensorSN, 21230023 ,,Modbus Addr., 3 
Sensor Type,DO2,,Initialized w/fw Rev,"2. 131"
Sensor Name,FCR DO 1m  (3),,Uploaded,"Aqua4Plus 1.9.6"
Session Name,FCR_1m_DO_20220627,,Exported,"Aqua4Plus 1.9.6"
# Records,  1185 
Statistical Data,,Temperature(degC),Pressure(psi),Power(V),DO(ppm),DO Temp(degC),
,Sensor Range,Custom,Custom,Custom,Custom,Custom,
,Minimum,24.125000,-55.115105,5.723136,1.930000,21.809998,
,Maximum,29.687500,-55.059441,13.532831,13.619999,27.689999,
,Mean,26.632226,-55.089514,10.946377,8.414050,24.066715,
,Variance,1.2621874,0.0001276,2.0461543,5.1828498,1.3698919,
,Std Deviation,1.1234711,0.0112951,1.4304385,2.2765873,1.1704238,
,,,,,,,
,,,,,,,
Rec #,Date/Time,Temperature(degC),Pressure(psi),Power(V),DO(ppm),DO Temp(degC)
1,27-Jun-22 10:39:48,26.437500,-55.091377,10.581839,10.879999,23.199997
2,27-Jun-22 10:54:48,26.062500,-55.095165,10.492415,10.999998,23.259998
3,27-Jun-22 11:09:48,26.000000,-55.095798,10.552032,11.309999,23.049999
4,27-Jun-22 11:24:48,25.750000,-55.098343,10.432799,10.459999,22.769997
5,27-Jun-22 11:39:48,25.625000,-55.099617,10.373183,10.069999,22.809998
6,27-Jun-22 11:54:48,25.625000,-55.099617,10.611648,10.189999,22.899998
7,27-Jun-22 12:09:48,25.625000,-55.099617,10.701071,10.139999,22.910000
8,27-Jun-22 12:24:48,25.500000,-55.100895,10.730880,10.079999,22.789997
9,27-Jun-22 12:39:48,25.312500,-55.102821,10.790496,10.299999,22.779999
10,27-Jun-22 12:54:48,25.187500,-55.104095,10.820303,10.499999,22.969997
11,27-Jun-22 13:09:48,25.375000,-55.102173,13.026095,10.669999,23.169998
12,27-Jun-22 13:24:48,25.562500,-55.100254,12.996287,11.319998,23.359997
13,27-Jun-22 13:39:48,25.687500,-55.098980,13.353984,11.599998,23.320000
14,27-Jun-22 13:54:48,25.687500,-55.098980,12.936671,11.629999,23.399998
15,27-Jun-22 14:09:48,25.750000,-55.098343,13.085711,11.599998,23.449997
16,27-Jun-22 14:24:48,25.937500,-55.096436,13.115520,11.679998,23.459999
17,27-Jun-22 14:39:48,26.000000,-55.095798,13.145327,11.939999,23.599998
18,27-Jun-22 14:54:48,26.250000,-55.093269,13.145327,12.119999,23.739998
19,27-Jun-22 15:09:48,27.500000,-55.080757,13.175136,11.989998,24.859997
20,27-Jun-22 15:24:48,28.125000,-55.074585,13.204943,11.999998,24.160000
21,27-Jun-22 15:39:48,28.125000,-55.074585,13.204943,11.889999,23.989998
22,27-Jun-22 15:54:48,27.812500,-55.077663,13.204943,11.809999,24.579998
23,27-Jun-22 16:09:48,27.687500,-55.078896,13.264559,11.559999,24.750000
24,27-Jun-22 16:24:48,27.687500,-55.078896,13.264559,11.619999,24.570000
25,27-Jun-22 16:39:48,27.687500,-55.078896,13.264559,11.459999,24.500000
26,27-Jun-22 16:54:48,27.750000,-55.078285,13.294368,11.729998,24.419998
