
Advanced Calibration Data
,,Cal Date,coef 1, coef 2, coef 3, coef 4, coef 5, coef 6, coef 7, coef 8, coef 9
,Temperature(degC),unknown,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.00
,Pressure(psi),unknown,0.000000,-0.000189,0.995379,-0.000032,0.003576,0.347366,0.000000,1.000000,0.000000
,Power(V),unknown,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,DO(ppm),19-Feb-18 12:38,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,DO Temp(degC),unknown,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00

Field Calibration Data
,,Cal Date,coef 1, coef 2, coef 3, coef 4, coef 5, coef 6, coef 7
,Temperature(degC),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,Pressure(psi),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,Power(V),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,DO(ppm),19-Feb-18 12:38,1.000000,0.130000,0.000000,0.000000,0.000000,1.000000,0.000000
,DO Temp(degC),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000

Sensor/File information
Sensor SN, 21230019 ,,Modbus Addr., 1 
Sensor Type,DO2,,Initialized w/fw Rev,"2. 130"
Sensor Name,FCR DO (1),,Uploaded,"Aqua4Plus 1.9.10"
File Name,FCR_DO_8m_20201102,,Exported,"Aqua4Plus 1.9.10"
# Records,  4029 
Statistical Data,,Temperature(degC),Pressure(psi),Power(V),DO(ppm),DO Temp(degC),
,Sensor Range,Custom,Custom,Custom,Custom,Custom,
,Minimum,5.188,26.114,12.370,2.310,5.190,
,Maximum,13.500,26.695,14.069,11.340,12.830,
,Mean,9.334,26.472,13.018,8.400,9.388,
,Variance,4.9769,0.0107,0.2051,3.9032,5.0712,
,Std Deviation,2.2309,0.1037,0.4529,1.9756,2.2519,
,,,,,,,
,,,,,,,
Rec #,Date/Time,Temperature(degC),Pressure(psi),Power(V),DO(ppm),DO Temp(degC)
1,2-Nov-20 14:20:13,13.000,26.531,13.980,5.780,12.830
2,2-Nov-20 14:35:13,12.750,26.475,13.980,5.870,12.820
3,2-Nov-20 14:50:13,12.688,26.503,13.980,5.870,12.810
4,2-Nov-20 15:05:13,12.688,26.497,13.980,5.980,12.790
5,2-Nov-20 15:20:13,12.688,26.505,13.980,5.990,12.790
6,2-Nov-20 15:35:13,12.688,26.505,13.980,6.020,12.780
7,2-Nov-20 15:50:13,12.688,26.491,13.980,6.010,12.760
8,2-Nov-20 16:05:13,12.625,26.512,13.801,6.020,12.740
9,2-Nov-20 16:20:13,12.625,26.513,13.503,6.040,12.750
10,2-Nov-20 16:35:13,12.625,26.499,13.324,6.080,12.740
11,2-Nov-20 16:50:13,12.625,26.506,13.145,6.160,12.740
12,2-Nov-20 17:05:13,12.625,26.509,13.086,6.130,12.740
13,2-Nov-20 17:20:13,12.625,26.508,13.026,6.110,12.740
14,2-Nov-20 17:35:13,12.625,26.497,12.996,6.080,12.740
15,2-Nov-20 17:50:13,12.625,26.504,12.996,6.110,12.730
16,2-Nov-20 18:05:13,12.625,26.514,12.966,6.120,12.750
17,2-Nov-20 18:20:13,12.625,26.500,12.996,6.180,12.740
18,2-Nov-20 18:35:13,12.625,26.520,12.996,6.220,12.740
19,2-Nov-20 18:50:13,12.625,26.491,12.907,6.220,12.750
20,2-Nov-20 19:05:13,12.625,26.500,12.966,6.190,12.750
21,2-Nov-20 19:20:13,12.625,26.497,12.966,6.190,12.750
22,2-Nov-20 19:35:13,12.625,26.526,12.966,6.190,12.740
23,2-Nov-20 19:50:13,12.625,26.524,12.847,6.210,12.740
24,2-Nov-20 20:05:13,12.625,26.518,12.966,6.200,12.750
25,2-Nov-20 20:20:13,12.563,26.480,12.937,6.190,12.730
26,2-Nov-20 20:35:13,12.563,26.498,12.907,6.330,12.710
27,2-Nov-20 20:50:13,12.563,26.516,12.877,6.350,12.670
28,2-Nov-20 21:05:13,12.625,26.488,12.877,6.470,12.650
29,2-Nov-20 21:20:13,12.563,26.500,12.907,6.460,12.640
