
Advanced Calibration Data
,,Cal Date,coef 1, coef 2, coef 3, coef 4, coef 5, coef 6, coef 7, coef 8, coef 9
,Temperature(degC),unknown,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.00
,Pressure(psi),unknown,0.000001,-0.000219,1.003133,-0.000022,0.001997,0.421111,0.000000,1.000000,0.000000
,Power(V),unknown,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,DO(ppm),12-Jul-13 16:45,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,DO Temp(degC),unknown,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00

Field Calibration Data
,,Cal Date,coef 1, coef 2, coef 3, coef 4, coef 5, coef 6, coef 7
,Temperature(degC),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,Pressure(psi),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,Power(V),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,DO(ppm),12-Jul-13 16:45,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,DO Temp(degC),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000

Sensor/Session information
SensorSN, 21230023 ,,Modbus Addr., 3 
Sensor Type,DO2,,Initialized w/fw Rev,"2. 131"
Sensor Name,FCR DO 1m  (3),,Uploaded,"Aqua4Plus 1.9.501"
Session Name,FCRDO1m_071416,,Exported,"Aqua4Plus 1.9.501"
# Records,  7173 
Statistical Data,,Temperature(degC),Pressure(psi),Power(V),DO(ppm),DO Temp(degC),
,Sensor Range,Custom,Custom,Custom,Custom,Custom,
,Minimum,22.312500,15.078519,6.975072,4.890000,22.059998,
,Maximum,32.000000,15.370777,13.950144,10.080000,29.639999,
,Mean,26.673367,15.222190,13.016463,8.510235,26.018318,
,Variance,2.8939944,0.0032684,0.8571999,0.2676750,2.0260138,
,Std Deviation,1.7011744,0.0571701,0.9258509,0.5173732,1.4233811,
,,,,,,,
,,,,,,,
Rec #,Date/Time,Temperature(degC),Pressure(psi),Power(V),DO(ppm),DO Temp(degC)
1,14-Jul-16 13:45:00,27.437500,15.267869,13.652063,8.839999,25.559998
2,14-Jul-16 14:00:00,27.500000,15.270783,13.145327,8.740000,25.480000
3,14-Jul-16 14:15:00,27.125000,15.271611,13.830912,8.820000,25.489998
4,14-Jul-16 14:30:00,26.875000,15.276580,13.353984,8.839999,25.539997
5,14-Jul-16 14:45:00,26.937500,15.268743,13.503023,8.879999,25.539997
6,14-Jul-16 15:00:00,27.250000,15.258534,13.294368,8.919999,25.619999
7,14-Jul-16 15:15:00,27.500000,15.261568,13.503023,8.940000,25.709999
8,14-Jul-16 15:30:00,27.562500,15.253732,13.294368,8.950000,25.699997
9,14-Jul-16 15:45:00,27.625000,15.250026,13.234752,8.990000,25.779999
10,14-Jul-16 16:00:00,27.750000,15.258508,13.473215,9.009999,25.739998
11,14-Jul-16 16:15:00,27.625000,15.262633,13.443407,8.959999,25.629997
12,14-Jul-16 16:30:00,27.437500,15.255739,13.353984,9.040000,25.579998
13,14-Jul-16 16:45:00,27.312500,15.249961,13.353984,9.099999,25.660000
14,14-Jul-16 17:00:00,27.187500,15.245132,13.413599,9.139999,25.750000
15,14-Jul-16 17:15:00,27.312500,15.245086,13.264559,9.169999,25.709999
16,14-Jul-16 17:30:00,27.500000,15.245942,13.830912,9.110000,25.730000
17,14-Jul-16 17:45:00,27.687500,15.239916,13.622255,9.059999,25.849998
18,14-Jul-16 18:00:00,27.875000,15.235528,13.353984,9.110000,25.799999
19,14-Jul-16 18:15:00,28.062500,15.244274,13.890528,9.129999,25.779999
20,14-Jul-16 18:30:00,28.125000,15.243007,13.353984,9.080000,25.779999
21,14-Jul-16 18:45:00,28.125000,15.247401,13.860719,9.110000,25.709999
22,14-Jul-16 19:00:00,28.062500,15.238452,13.175136,9.169999,25.589996
23,14-Jul-16 19:15:00,28.062500,15.245070,13.294368,9.020000,25.619999
24,14-Jul-16 19:30:00,28.000000,15.244166,13.234752,9.099999,25.599998
25,14-Jul-16 19:45:00,27.875000,15.248662,12.728015,9.150000,25.589996
26,14-Jul-16 20:00:00,27.750000,15.249294,13.026095,9.080000,25.649998
