
Advanced Calibration Data
,,Cal Date,coef 1, coef 2, coef 3, coef 4, coef 5, coef 6, coef 7, coef 8, coef 9
,Temperature(degC),unknown,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.00
,Pressure(psi),unknown,0.000001,-0.000219,1.003133,-0.000022,0.001997,0.421111,0.000000,1.000000,0.000000
,Power(V),unknown,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,DO(ppm),12-Jul-13 16:45,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,DO Temp(degC),unknown,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00

Field Calibration Data
,,Cal Date,coef 1, coef 2, coef 3, coef 4, coef 5, coef 6, coef 7
,Temperature(degC),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,Pressure(psi),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,Power(V),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,DO(ppm),12-Jul-13 16:45,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,DO Temp(degC),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000

Sensor/Session information
SensorSN, 21230023 ,,Modbus Addr., 3 
Sensor Type,DO2,,Initialized w/fw Rev,"2. 131"
Sensor Name,FCR DO 1m  (3),,Uploaded,"Aqua4Plus 1.9.501"
Session Name,FCR_DO_1m,,Exported,"Aqua4Plus 1.9.501"
# Records,  6033 
Statistical Data,,Temperature(degC),Pressure(psi),Power(V),DO(ppm),DO Temp(degC),
,Sensor Range,Custom,Custom,Custom,Custom,Custom,
,Minimum,4.625000,15.052077,11.327040,8.980000,4.110000,
,Maximum,14.750000,15.612795,14.009759,12.119999,13.939999,
,Mean,9.438878,15.348417,13.151059,10.797072,8.815024,
,Variance,4.8642596,0.0098672,0.1641286,0.4178273,4.6203931,
,Std Deviation,2.2055067,0.0993337,0.4051278,0.6463956,2.1495100,
,,,,,,,
,,,,,,,
Rec #,Date/Time,Temperature(degC),Pressure(psi),Power(V),DO(ppm),DO Temp(degC)
1,9-Nov-15 17:00:00,13.437500,15.391671,13.055903,9.059999,13.039999
2,9-Nov-15 17:15:00,13.437500,15.394218,13.055903,9.070000,13.039999
3,9-Nov-15 17:30:00,13.437500,15.398256,13.055903,9.120000,13.009998
4,9-Nov-15 17:45:00,13.437500,15.403725,12.996287,9.110000,13.019999
5,9-Nov-15 18:00:00,13.437500,15.404257,13.055903,9.120000,12.990000
6,9-Nov-15 18:15:00,13.437500,15.399370,13.055903,9.110000,13.000000
7,9-Nov-15 18:30:00,13.437500,15.396186,13.026095,9.089999,13.009998
8,9-Nov-15 18:45:00,13.437500,15.399158,12.936671,9.099999,13.009998
9,9-Nov-15 19:00:00,13.437500,15.400327,13.026095,9.070000,13.000000
10,9-Nov-15 19:15:00,13.437500,15.401654,13.026095,9.080000,12.969999
11,9-Nov-15 19:30:00,13.375000,15.399783,13.026095,9.059999,12.980000
12,9-Nov-15 19:45:00,13.375000,15.401376,12.936671,9.040000,12.980000
13,9-Nov-15 20:00:00,13.375000,15.405568,12.996287,9.049999,12.939999
14,9-Nov-15 20:15:00,13.375000,15.399146,12.996287,9.059999,12.959999
15,9-Nov-15 20:30:00,13.375000,15.401800,12.966479,9.080000,12.959999
16,9-Nov-15 20:45:00,13.375000,15.403446,12.906863,9.070000,12.949999
17,9-Nov-15 21:00:00,13.375000,15.407431,12.966479,9.059999,12.949999
18,9-Nov-15 21:15:00,13.375000,15.403234,12.936671,9.059999,12.949999
19,9-Nov-15 21:30:00,13.375000,15.404349,12.936671,9.049999,12.939999
20,9-Nov-15 21:45:00,13.375000,15.406417,12.877055,9.049999,12.939999
21,9-Nov-15 22:00:00,13.375000,15.403872,12.877055,9.059999,12.939999
22,9-Nov-15 22:15:00,13.375000,15.398560,12.877055,9.040000,12.929998
23,9-Nov-15 22:30:00,13.375000,15.402649,12.877055,9.040000,12.929998
24,9-Nov-15 22:45:00,13.312500,15.396530,12.698208,9.059999,12.919998
25,9-Nov-15 23:00:00,13.312500,15.391695,12.787631,9.059999,12.900000
26,9-Nov-15 23:15:00,13.312500,15.384792,12.817439,9.080000,12.889999
