"Reading Date","FCR Barometric Pressure Temperature (degC)","FCR Barometric Pressure Pressure (PSI)","FCR DO Temperature (degC)","FCR DO Pressure (PSI)","FCR DO Power (V)","FCR DO Dissolved Oxygen (ppm)","FCR DO Temperature (degC)","FCR DO 1m Temperature (degC)","FCR DO 1m Pressure (PSI)","FCR DO 1m Power (V)","FCR DO 1m Dissolved Oxygen (ppm)","FCR DO 1m Temperature (degC)","Temperature Modem (degC)","Vbattery Modem (Volts)","Vcommon Modem (Volts)"
"10/27/16 00:00:07","","","","","","","","14.937","15.436","12.847","9.120","14.570","","",""
"10/27/16 00:00:00","","","","","","","","","","","","","7.215","13.020","13.003"
"10/26/16 23:45:17","10.125","14.028","","","","","","","","","","","","",""
"10/26/16 23:45:14","","","14.750","26.599","12.996","8.250","14.570","","","","","","","",""
"10/26/16 23:45:07","","","","","","","","14.937","15.438","12.966","9.129","14.570","","",""
"10/26/16 23:30:17","10.062","14.028","","","","","","","","","","","","",""
"10/26/16 23:30:14","","","14.875","26.601","12.966","8.290","14.560","","","","","","","",""
"10/26/16 23:30:07","","","","","","","","14.937","15.440","12.966","9.139","14.590","","",""
"10/26/16 23:15:17","10.062","14.027","","","","","","","","","","","","",""
"10/26/16 23:15:14","","","14.812","26.604","12.996","8.370","14.570","","","","","","","",""
"10/26/16 23:15:07","","","","","","","","14.937","15.443","12.996","9.139","14.580","","",""
"10/26/16 23:00:17","10.125","14.029","","","","","","","","","","","","",""
"10/26/16 23:00:14","","","14.937","26.606","12.936","8.360","14.560","","","","","","","",""
"10/26/16 23:00:07","","","","","","","","14.937","15.441","12.936","9.139","14.590","","",""
"10/26/16 23:00:00","","","","","","","","","","","","","7.294","13.064","13.038"
"10/26/16 22:45:17","10.250","14.028","","","","","","","","","","","","",""
"10/26/16 22:45:14","","","14.812","26.602","12.906","8.349","14.590","","","","","","","",""
"10/26/16 22:45:07","","","","","","","","14.875","15.430","12.429","9.129","14.590","","",""
"10/26/16 22:30:17","10.125","14.029","","","","","","","","","","","","",""
"10/26/16 22:30:14","","","15.000","26.604","13.026","8.240","14.610","","","","","","","",""
"10/26/16 22:30:07","","","","","","","","14.937","15.437","12.966","9.150","14.590","","",""
